"Vancouver — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"188,000","225,000","285,000","380,000","250,000","306,265",858,
1990 February,"190,000","240,000","298,000","400,000","260,000","329,570",700,
1990 March,"199,000","240,000","295,000","400,000","260,000","321,714",738,
1990 April,"195,000","245,000","300,000","400,000","260,000","333,726",715,
1990 May,"215,000","250,000","320,000","400,000","285,000","339,037",662,
1990 June,"215,000","260,000","300,000","400,000","280,000","333,562",781,
1990 July,"240,000","290,000","355,000","475,000","320,000","390,353",687,
1990 August,"220,000","270,000","330,000","460,000","300,000","356,134",682,
1990 September,"220,000","260,000","330,000","440,000","300,000","354,071",620,
1990 October,"220,000","275,000","340,000","440,000","300,000","357,842",560,
1990 November,"220,000","275,000","345,000","430,000","310,000","363,875",539,
1990 December,"220,000","265,000","330,000","450,000","290,000","359,902",547,
1991 January,"210,000","260,000","328,000","440,000","290,000","359,240",685,
1991 February,"185,000","240,000","290,000","396,000","260,000","325,765",618,
1991 March,"185,000","240,000","285,000","365,000","260,000","300,964",639,
1991 April,"195,000","245,000","300,000","385,000","270,000","333,848",844,
1991 May,"195,000","237,000","290,000","399,000","250,000","325,017",600,
1991 June,"190,000","230,000","280,000","375,000","250,000","299,663",562,
1991 July,"185,000","220,000","261,000","340,000","240,000","294,252",571,
1991 August,"190,000","230,000","275,000","345,000","250,000","297,327",635,
1991 September,"210,000","250,000","290,000","400,000","270,000","324,331",674,
1991 October,"200,000","230,000","275,000","350,000","250,000","305,779",744,
1991 November,"215,000","245,000","300,000","404,000","267,500","318,269",536,
1991 December,"210,000","240,000","290,000","360,000","265,000","305,500",662,
1992 January,"220,000","260,000","300,000","380,000","280,000","329,119",624,
1992 February,"230,000","270,000","330,000","420,000","300,000","359,093",517,
1992 March,"210,000","250,000","300,000","400,000","280,000","322,234",673,
1992 April,"225,000","260,000","314,000","400,000","280,000","338,371",707,
1992 May,"230,000","275,000","316,000","400,000","290,000","346,857",716,
1992 June,"230,000","260,000","310,000","425,000","285,000","360,593",603,
1992 July,"245,000","285,000","345,000","425,000","300,000","376,092",608,
1992 August,"245,000","280,000","330,000","424,000","300,000","373,286",755,
1992 September,"244,000","290,000","347,000","440,000","310,000","363,906",718,
1992 October,"245,000","290,000","350,000","430,000","312,500","370,162",680,
1992 November,"250,000","300,000","355,000","450,000","330,000","382,643",637,
