"Winnipeg — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"83,000","95,000","110,000","135,000","105,000","111,878",227,
1990 February,"80,000","90,000","100,000","130,000","90,000","105,954",159,
1990 March,"80,000","90,000","95,000","139,000","95,000","110,564",90,
1990 April,"90,000","113,000","135,000","170,000","130,000","139,371",63,
1990 May,"90,000","105,000","120,000","150,000","112,500","119,693",198,
1990 June,"85,000","100,000","125,000","150,000","110,000","120,092",233,
1990 July,"90,000","115,000","140,000","160,000","130,000","132,863",180,
1990 August,"90,000","110,000","135,000","155,000","122,500","127,461",210,
1990 September,"90,000","110,000","125,000","155,000","115,000","120,258",158,
1990 October,"85,000","95,000","110,000","140,000","105,000","112,996",284,
1990 November,"90,000","100,000","123,000","145,000","110,000","119,217",275,
1990 December,"80,000","100,000","120,000","150,000","110,000","118,055",179,
1991 January,"80,000","100,000","120,000","145,000","110,000","117,030",103,
1991 February,"90,000","110,000","130,000","160,000","115,000","128,654",69,
1991 March,"90,000","108,000","127,000","156,000","120,000","124,225",63,
1991 April,"87,000","105,000","120,000","150,000","110,000","122,714",61,
1991 May,"105,000","120,000","155,000","180,000","137,500","144,531",44,
1991 June,"95,000","105,000","131,000","165,000","120,000","130,962",111,
1991 July,"100,000","115,000","131,000","153,000","122,500","129,882",116,
1991 August,"90,000","105,000","134,000","167,000","120,000","135,878",142,
1991 September,"90,000","110,000","125,000","160,000","117,500","128,341",142,
1991 October,"90,000","110,000","135,000","155,000","120,000","127,845",121,
1991 November,"95,000","115,000","140,000","170,000","125,000","136,463",89,
1991 December,"95,000","120,000","150,000","175,000","130,000","137,314",71,
1992 January,"100,000","115,000","138,000","177,000","120,000","140,665",77,
1992 February,"95,000","119,000","135,000","165,000","125,000","130,161",66,
1992 March,"100,000","120,000","135,000","157,000","125,000","132,416",82,
1992 April,"95,000","117,000","140,000","175,000","130,000","140,441",77,
1992 May,"92,000","105,000","125,000","160,000","115,000","129,262",81,
1992 June,"100,000","120,000","135,000","165,000","125,000","137,160",129,
1992 July,"100,000","115,000","135,000","162,000","125,000","134,600",102,
1992 August,"105,000","125,000","145,000","170,000","130,000","142,538",145,
1992 September,"100,000","120,000","135,000","165,000","125,000","131,846",107,
1992 October,"103,000","125,000","135,000","152,000","130,000","133,542",117,
1992 November,"110,000","123,000","140,000","165,000","130,000","140,716",133,
1992 December,"105,000","123,000","140,000","165,000","130,000","138,709",103,
1993 January,"95,000","130,000","155,000","175,000","140,000","147,594",59,
1993 February,"110,000","130,000","143,000","169,000","135,000","141,921",70,
1993 March,"95,000","119,000","135,000","155,000","125,000","128,395",51,
1993 April,"115,000","130,000","150,000","160,000","140,000","142,850",39,
1993 May,"87,000","110,000","126,000","140,000","122,500","119,008",66,
1993 June,"115,000","135,000","155,000","190,000","145,000","149,045",133,
1993 July,"110,000","120,000","130,000","150,000","125,000","133,875",94,
1993 August,"108,000","130,000","149,000","180,000","140,000","147,883",122,
1993 September,"85,000","121,000","134,000","165,000","125,000","128,552",142,
1993 October,"105,000","125,000","136,000","155,000","130,000","131,516",166,
1993 November,"105,000","125,000","150,000","180,000","140,000","142,932",99,
1993 December,"95,000","120,000","140,000","173,000","130,000","138,753",166,
1994 January,"105,000","128,000","145,000","175,000","135,000","148,561",63,
1994 February,"115,000","130,000","140,000","160,000","135,000","141,732",68,
1994 March,"91,000","120,000","140,000","155,000","125,000","132,635",65,
1994 April,"110,000","120,000","135,000","170,000","125,000","141,644",48,
1994 May,"115,000","125,000","145,000","170,000","135,000","139,823",75,
1994 June,"110,000","125,000","135,000","165,000","130,000","136,097",134,
1994 July,"115,000","125,000","140,000","165,000","135,000","141,039",193,
1994 August,"115,000","130,000","140,000","165,000","135,000","141,733",136,
1994 September,"115,000","125,000","135,000","165,000","130,000","134,529",128,
1994 October,"105,000","125,000","140,000","175,000","130,000","143,251",141,
1994 November,"109,000","125,000","140,000","160,000","130,000","135,653",103,
1994 December,"118,000","130,000","150,000","180,000","140,000","147,493",97,
1995 January,"115,000","125,000","140,000","168,000","135,000","146,971",61,
1995 February,"120,000","138,000","145,000","160,000","140,000","142,809",38,
1995 March,"107,000","130,000","151,000","179,000","140,000","152,559",21,
1995 April,"121,000","135,000","149,000","214,000","137,500","161,282",50,
1995 May,"120,000","135,000","160,000","205,000","145,000","162,935",262,
1995 June,"118,000","140,000","154,000","192,000","145,000","163,842",82,
1995 July,"120,000","125,000","145,000","174,000","140,000","144,858",65,
1995 August,"111,000","135,000","160,000","179,000","150,000","152,479",75,
1995 September,"110,000","125,000","140,000","170,000","135,000","138,904",67,
1995 October,"110,000","125,000","145,000","175,000","135,000","149,148",111,
1995 November,"120,000","135,000","150,000","170,000","140,000","144,948",88,
1995 December,"115,000","135,000","160,000","200,000","145,000","155,677",73,
1996 January,"110,000","125,000","150,000","185,000","135,000","149,902",59,
1996 February,"115,000","130,000","148,000","179,000","135,000","144,309",65,
1996 March,"113,000","125,000","134,000","149,000","130,000","142,123",37,
1996 April,"113,000","131,000","140,000","182,000","135,000","142,324",37,
1996 May,"95,000","130,000","154,000","197,000","140,000","148,943",57,
1996 June,"120,000","135,000","155,000","200,000","145,000","154,046",59,
1996 July,"115,000","125,000","145,000","175,000","135,000","152,537",79,
1996 August,"115,000","130,000","147,000","181,000","135,000","147,839",53,
1996 September,"115,000","125,000","140,000","155,000","135,000","140,726",39,
1996 October,"111,000","130,000","143,000","170,000","140,000","138,881",45,
