Edmonton — Historical % Change of Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,6.8,b ,4.8,a ,4.2,a ,5.3,b ,4.7,a ,
1992 October,2.5,b ,2.1,a ,3.3,c ,2.0,b ,2.2,a ,
1993 October,0.5,b ,**,,0.6,a ,1.4,a ,0.5,a ,
1994 October,-1.4,a ,-1.7,a ,-2.3,a ,-2.8,b ,-2.2,a ,
1995 October,-2.6,b ,-1.2,a ,-1.3,a ,++,,-1.4,a ,
1996 October,++,,++,,++,,++,,++,,
1997 October,3.0,d ,2.5,a ,1.9,a ,3.3,d ,2.0,a ,
1998 October,5.9,b ,5.4,a ,5.5,a ,4.6,c ,5.5,a ,
1999 October,4.4,c ,4.7,b ,4.3,a ,3.4,c ,4.2,a ,
2000 October,4.6,c ,3.8,b ,3.4,a ,4.0,b ,3.6,a ,
2001 October,10.3,c ,9.6,a ,9.6,a ,9.4,a ,9.5,a ,
2002 October,6.6,c ,6.5,a ,6.1,a ,5.9,a ,6.3,a ,
2003 October,2.9,c ,2.0,b ,1.9,a ,2.1,b ,1.9,a ,
2004 October,1.4,a ,1.0,a ,0.9,a ,++,,0.9,a ,
2005 October,1.2,a ,1.2,a ,0.6,a ,1.0,d ,0.8,a ,
2006 October,10.7,a ,10.6,a ,10.7,a ,12.1,a ,11.0,a ,
2007 October,17.1,a ,17.8,a ,19.3,a ,19.7,a ,19.0,a ,
2008 October,9.1,a ,8.7,a ,8.5,a ,8.5,a ,8.4,a ,
2009 October,0.7,b ,-0.5,b ,-1.5,b ,-0.8,d ,-1.1,a ,
2010 October,1.0,a ,0.6,a ,1.1,a ,1.5,a ,1.1,a ,
2011 October,1.1,a ,0.9,a ,0.9,a ,0.4,a ,1.0,a ,
2012 October,3.5,b ,3.6,a ,3.7,a ,4.6,b ,3.6,a ,
2013 October,5.7,a ,5.5,a ,5.9,a ,6.3,a ,5.7,a ,
2014 October,6.4,a ,6.5,a ,6.3,a ,6.0,a ,6.4,a ,
2015 October,3.7,b ,2.7,a ,2.2,a ,2.2,a ,2.4,a ,
2016 October,-1.9,b ,-3.4,a ,-3.3,a ,-3.0,b ,-3.4,a ,
2017 October,-1.1,a ,-1.0,a ,-1.4,a ,++,,-1.3,a ,
2018 October,2.0,b ,1.1,a ,1.3,a ,1.2,a ,1.3,a ,
2019 October,1.4,a ,1.0,a ,0.9,a ,1.3,a ,0.8,a ,
2020 October,-0.6,a ,++,,++,,-0.6,a ,-0.1,b ,
2021 October,++,,++,,-0.2,a ,0.3,b ,++,,
2022 October,1.7,b ,1.5,a ,1.5,a ,1.6,b ,1.5,a ,
2023 October,5.5,b ,5.9,a ,6.3,a ,5.7,a ,6.1,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
