Hamilton — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,342,a ,432,a ,523,a ,669,a ,493,a ,
1991 October,371,a ,458,a ,549,a ,706,a ,521,a ,
1992 October,363,a ,469,a ,576,a ,724,a ,537,a ,
1993 October,383,a ,488,a ,600,a ,754,a ,561,a ,
1994 October,389,a ,498,a ,604,a ,777,a ,568,a ,
1995 October,397,a ,509,a ,616,a ,778,a ,575,a ,
1996 October,389,a ,506,a ,627,a ,798,a ,580,a ,
1997 October,405,a ,520,a ,639,a ,812,a ,594,a ,
1998 October,403,a ,539,a ,665,a ,831,a ,616,a ,
1999 October,423,a ,563,a ,699,a ,852,a ,646,a ,
2000 October,459,a ,582,a ,724,a ,894,a ,672,a ,
2001 October,453,a ,608,a ,742,a ,925,a ,690,a ,
2002 October,476,a ,627,a ,771,a ,963,a ,715,a ,
2003 October,497,a ,633,a ,783,a ,965,a ,725,a ,
2004 October,508,a ,641,a ,794,a ,975,a ,738,a ,
2005 October,492,a ,646,a ,795,a ,959,a ,739,a ,
2006 October,492,a ,644,a ,798,a ,942,a ,735,a ,
2007 October,511,a ,666,a ,830,a ,994,a ,767,a ,
2008 October,542,a ,681,a ,846,a ,"1,025",a ,784,a ,
2009 October,517,a ,679,a ,837,a ,"1,015",a ,780,a ,
2010 October,530,a ,705,a ,871,a ,"1,067",a ,812,a ,
2011 October,550,a ,722,a ,890,a ,"1,103",a ,829,a ,
2012 October,569,a ,735,a ,892,a ,"1,100",a ,833,a ,
2013 October,588,a ,766,a ,936,a ,"1,128",a ,868,a ,
2014 October,592,a ,792,a ,963,a ,"1,163",a ,894,a ,
2015 October,608,a ,829,a ,"1,040",a ,"1,206",a ,959,a ,
2016 October,674,b ,870,a ,"1,042",a ,"1,231",a ,982,a ,
2017 October,651,b ,905,a ,"1,109",a ,"1,306",a ,"1,033",a ,
2018 October,807,b ,970,a ,"1,162",a ,"1,373",a ,"1,090",a ,
2019 October,827,a ,"1,021",a ,"1,223",a ,"1,407",a ,"1,144",a ,
2020 October,899,a ,"1,096",a ,"1,292",a ,"1,457",a ,"1,215",a ,
2021 October,930,a ,"1,143",a ,"1,364",a ,"1,557",a ,"1,273",a ,
2022 October,947,a ,"1,198",a ,"1,438",a ,"1,567",a ,"1,334",a ,
2023 October,"1,022",a ,"1,366",a ,"1,619",a ,"1,698",a ,"1,501",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
