Saint John — Historical % Change of Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,6.1,c ,4.4,b ,4.6,a ,6.1,c ,4.7,b ,
1992 October,2.5,b ,1.7,b ,2.3,b ,3.6,c ,2.1,b ,
1993 October,**,,1.8,c ,0.8,d ,**,,1.2,a ,
1994 October,1.1,d ,++,,1.1,a ,1.1,a ,0.8,a ,
1995 October,++,,0.8,d ,++,,++,,++,,
1996 October,2.0,c ,++,,++,,++,,++,,
1997 October,1.7,c ,2.5,c ,1.9,b ,0.8,d ,1.9,b ,
1998 October,1.3,a ,1.3,a ,++,,1.4,a ,0.5,b ,
1999 October,**,,3.3,d ,2.6,a ,2.2,b ,3.4,c ,
2000 October,3.1,d ,2.0,c ,2.2,c ,2.1,c ,1.9,c ,
2001 October,**,,2.7,c ,2.9,b ,**,,2.6,b ,
2002 October,1.7,c ,++,,1.2,a ,++,,1.3,a ,
2003 October,++,,1.3,d ,2.6,b ,1.0,d ,1.9,c ,
2004 October,4.3,c ,2.1,c ,2.9,b ,**,,2.5,b ,
2005 October,1.5,d ,2.3,b ,0.8,d ,++,,1.4,a ,
2006 October,5.4,d ,3.3,d ,2.1,c ,1.2,d ,3.1,d ,
2007 October,4.5,c ,2.9,b ,3.5,c ,3.4,d ,3.1,c ,
2008 October,4.8,c ,3.8,c ,4.8,b ,3.9,c ,4.5,b ,
2009 October,4.5,c ,3.7,b ,4.5,b ,3.6,b ,4.2,b ,
2010 October,2.1,c ,3.2,c ,2.6,a ,3.4,b ,2.9,a ,
2011 October,4.1,c ,3.6,c ,3.1,b ,10.7,c ,3.6,b ,
2012 October,2.9,c ,2.9,b ,3.4,b ,-3.5,c ,2.6,a ,
2013 October,1.8,c ,++,,++,,1.7,c ,++,,
2014 October,++,,++,,0.7,b ,**,,1.0,a ,
2015 October,++,,1.2,d ,1.5,c ,3.7,d ,1.3,a ,
2016 October,2.7,c ,3.7,c ,2.0,c ,++,,1.7,c ,
2017 October,2.4,c ,**,,1.1,a ,1.1,d ,1.4,a ,
2018 October,++,,3.5,c ,3.2,c ,3.0,d ,3.1,c ,
2019 October,5.4,d ,3.7,c ,4.2,c ,3.0,c ,3.5,c ,
2020 October,++,,3.3,c ,3.5,c ,3.3,d ,3.6,b ,
2021 October,3.7,d ,8.4,b ,6.1,b ,7.8,c ,6.5,b ,
2022 October,7.4,c ,6.7,c ,7.2,b ,4.2,d ,6.6,b ,
2023 October,11.5,d ,8.1,c ,7.9,c ,**,,7.9,c ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
