"Charlottetown — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"80,000","95,000","120,000","150,000","95,000","109,158",19,
1990 February,"76,000","92,000","110,000","158,000","95,000","109,867",15,
1990 March,"81,000","90,000","95,000","158,000","95,000","110,867",15,
1990 April,"87,000","90,000","95,000","156,000","90,000","107,818",11,
1990 May,"88,000","90,000","94,000","152,000","90,000","107,176",17,
1990 June,"82,000","90,000","95,000","140,000","90,000","105,095",21,
1990 July,"85,000","90,000","95,000","122,000","90,000","101,080",25,
1990 August,"79,000","90,000","95,000","130,000","90,000","102,000",18,
1990 September,"90,000","90,000","108,000","150,000","95,000","110,200",15,
1990 October,"85,000","90,000","105,000","150,000","100,000","109,158",19,
1990 November,"80,000","90,000","97,000","146,000","90,000","104,727",11,
1990 December,"80,000","90,000","105,000","140,000","92,500","107,000",14,
1991 January,"77,000","89,000","93,000","140,000","90,000","99,364",11,
1991 February,**,**,**,**,**,"101,000",9,
1991 March,"85,000","85,000","90,000","128,000","90,000","99,091",11,
1991 April,"85,000","90,000","94,000","124,000","90,000","101,250",12,
1991 May,"85,000","90,000","95,000","100,000","92,500","97,500",10,
1991 June,**,**,**,**,**,"96,444",9,
1991 July,"65,000","85,000","94,000","120,000","90,000","92,353",17,
1991 August,"65,000","75,000","91,000","118,000","85,000","89,063",16,
1991 September,"65,000","69,000","93,000","119,000","90,000","89,000",15,
1991 October,"75,000","85,000","100,000","135,000","92,500","104,429",14,
1991 November,"91,000","104,000","118,000","167,000","112,500","119,900",10,
1991 December,"90,000","96,000","108,000","124,000","100,000","108,333",12,
1992 January,**,**,**,**,**,"122,222",9,
1992 February,"82,000","97,000","126,000","173,000","110,000","119,400",10,
1992 March,"86,000","90,000","90,000","128,000","90,000","103,000",15,
1992 April,"84,000","90,000","90,000","133,000","90,000","103,692",13,
1992 May,"88,000","90,000","129,000","142,000","120,000","116,765",17,
1992 June,"90,000","114,000","132,000","180,000","125,000","127,455",11,
1992 July,"90,000","120,000","129,000","180,000","125,000","129,529",17,
1992 August,"93,000","125,000","154,000","180,000","130,000","136,600",15,
1992 September,"95,000","125,000","155,000","180,000","127,500","134,571",14,
1992 October,"111,000","124,000","139,000","160,000","125,000","134,909",11,
1992 November,"92,000","124,000","156,000","166,000","135,000","134,091",11,
1992 December,**,**,**,**,**,"134,444",9,
1993 January,"85,000","120,000","135,000","160,000","127,500","125,750",12,
1993 February,"85,000","85,000","126,000","160,000","120,000","118,385",13,
1993 March,"85,000","120,000","147,000","160,000","137,500","130,944",18,
1993 April,"85,000","120,000","145,000","160,000","135,000","129,158",19,
1993 May,"85,000","120,000","145,000","160,000","135,000","130,842",19,
1993 June,"87,000","120,000","145,000","160,000","135,000","130,952",21,
1993 July,"93,000","118,000","137,000","160,000","125,000","125,556",18,
1993 August,"85,000","111,000","131,000","154,000","130,000","121,938",16,
1993 September,"95,000","110,000","125,000","145,000","112,500","120,286",14,
1993 October,"95,000","117,000","134,000","142,000","130,000","124,235",17,
1993 November,"110,000","125,000","135,000","160,000","130,000","131,421",19,
1993 December,"121,000","139,000","148,000","172,000","145,000","146,273",11,
1994 January,"112,000","134,000","145,000","172,000","140,000","141,273",11,
1994 February,"100,000","105,000","140,000","150,000","130,000","126,474",19,
1994 March,"104,000","108,000","137,000","148,000","120,000","126,538",13,
1994 April,"110,000","126,000","143,000","157,000","137,500","134,200",10,
1994 May,**,**,**,**,**,"137,875",8,
1994 June,"96,000","100,000","120,000","139,000","110,000","117,000",12,
1994 July,"100,000","110,000","125,000","135,000","122,500","120,143",14,
1994 August,"98,000","120,000","126,000","138,000","125,000","120,750",16,
1994 September,"110,000","120,000","130,000","145,000","125,000","125,211",19,
