"Saint John — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"85,000","90,000","92,000","110,000","90,000","94,611",36,
1990 February,"85,000","90,000","100,000","110,000","90,000","96,056",36,
1990 March,"85,000","90,000","100,000","110,000","100,000","96,703",37,
1990 April,"85,000","85,000","90,000","110,000","90,000","93,455",44,
1990 May,"80,000","85,000","90,000","100,000","85,000","96,046",65,
1990 June,"80,000","85,000","90,000","100,000","85,000","91,139",72,
1990 July,"80,000","85,000","90,000","100,000","85,000","91,311",74,
1990 August,"80,000","85,000","90,000","100,000","90,000","91,580",81,
1990 September,"80,000","85,000","86,000","100,000","85,000","87,727",66,
1990 October,"75,000","85,000","85,000","100,000","85,000","88,529",85,
1990 November,"80,000","85,000","85,000","101,000","85,000","89,670",88,
1990 December,"80,000","85,000","85,000","107,000","85,000","91,097",72,
1991 January,"80,000","85,000","90,000","125,000","85,000","99,250",64,
1991 February,"80,000","85,000","85,000","100,000","85,000","89,581",43,
1991 March,"80,000","85,000","86,000","100,000","85,000","90,171",41,
1991 April,"80,000","85,000","90,000","102,000","85,000","95,813",38,
1991 May,"80,000","85,000","90,000","110,000","85,000","97,111",45,
1991 June,"80,000","85,000","90,000","136,000","87,500","104,365",48,
1991 July,"81,000","85,000","96,000","140,000","85,000","103,511",45,
1991 August,"80,000","85,000","96,000","130,000","85,000","99,514",35,
1991 September,"80,000","85,000","90,000","114,000","87,500","96,895",38,
1991 October,"80,000","85,000","98,000","132,000","90,000","99,622",37,
1991 November,"80,000","85,000","105,000","135,000","90,000","104,308",39,
1991 December,"80,000","85,000","92,000","116,000","85,000","95,951",41,
1992 January,"82,000","85,000","100,000","128,000","90,000","100,585",41,
1992 February,"81,000","85,000","100,000","129,000","90,000","99,625",40,
1992 March,"85,000","85,000","96,000","124,000","90,000","100,229",35,
1992 April,"85,000","90,000","100,000","120,000","95,000","101,237",38,
1992 May,"85,000","85,000","100,000","115,000","95,000","99,088",34,
1992 June,"85,000","90,000","106,000","125,000","100,000","104,478",46,
1992 July,"85,000","100,000","105,000","130,000","100,000","105,638",47,
1992 August,"85,000","90,000","100,000","110,000","100,000","99,577",52,
1992 September,"85,000","90,000","100,000","110,000","95,000","98,345",55,
1992 October,"85,000","90,000","100,000","120,000","100,000","104,390",59,
1992 November,"84,000","85,000","100,000","110,000","90,000","99,813",48,
1992 December,"82,000","85,000","100,000","110,000","90,000","98,824",51,
1993 January,"85,000","85,000","92,000","110,000","87,500","97,684",38,
1993 February,"85,000","85,000","100,000","114,000","90,000","102,400",45,
1993 March,"85,000","85,000","100,000","118,000","90,000","101,184",38,
1993 April,"85,000","85,000","100,000","131,000","90,000","108,212",33,
1993 May,"85,000","85,000","100,000","132,000","90,000","107,688",32,
1993 June,"85,000","85,000","93,000","110,000","90,000","101,975",40,
1993 July,"81,000","85,000","90,000","108,000","90,000","93,956",45,
1993 August,"85,000","90,000","98,000","120,000","90,000","104,404",47,
1993 September,"85,000","85,000","100,000","127,000","90,000","102,277",47,
1993 October,"84,000","85,000","100,000","127,000","90,000","102,906",53,
1993 November,"85,000","88,000","92,000","112,000","90,000","100,563",48,
1993 December,"85,000","90,000","100,000","135,000","90,000","104,623",53,
1994 January,"85,000","89,000","91,000","110,000","90,000","97,878",41,
1994 February,"85,000","85,000","97,000","110,000","90,000","98,442",43,
1994 March,"85,000","85,000","100,000","110,000","90,000","99,854",41,
1994 April,"85,000","85,000","99,000","110,000","90,000","97,811",37,
1994 May,**,**,**,**,**,"100,708",24,
1994 June,**,**,**,**,**,"96,957",23,
1994 July,"85,000","90,000","110,000","131,000","95,000","105,387",31,
1994 August,"85,000","90,000","109,000","135,000","95,000","106,703",37,
1994 September,"85,000","90,000","96,000","125,000","90,000","105,341",41,
1994 October,"82,000","90,000","96,000","125,000","90,000","102,390",41,
1994 November,**,**,**,**,**,"108,286",28,
1994 December,"85,000","90,000","95,000","125,000","90,000","103,333",27,
1995 January,"86,000","90,000","98,000","133,000","95,000","106,120",25,
1995 February,"85,000","90,000","97,000","136,000","95,000","105,478",23,
1995 March,"85,000","90,000","95,000","125,000","92,500","101,643",14,
1995 April,"80,000","90,000","90,000","140,000","90,000","102,214",14,
1995 May,"84,000","90,000","90,000","143,000","90,000","103,944",18,
1995 June,"85,000","90,000","94,000","137,000","90,000","105,500",22,
1995 July,"85,000","90,000","90,000","127,000","90,000","100,522",23,
1995 August,"90,000","90,000","95,000","135,000","90,000","107,348",23,
1995 September,"90,000","90,000","98,000","125,000","95,000","104,320",25,
1995 October,"90,000","90,000","95,000","125,000","90,000","102,143",21,
1995 November,"90,000","90,000","100,000","129,000","95,000","106,636",22,
1995 December,"87,000","90,000","96,000","131,000","90,000","104,714",21,
1996 January,"90,000","90,000","120,000","148,000","105,000","113,050",20,
1996 February,"90,000","90,000","120,000","146,000","100,000","112,524",21,
1996 March,**,**,**,**,**,**,17,
1996 April,**,**,**,**,**,**,15,
1996 May,**,**,**,**,**,**,14,
1996 June,"85,000","90,000","108,000","128,000","95,000","116,091",22,
1996 July,"85,000","95,000","115,000","138,000","110,000","116,233",30,
1996 August,"82,000","90,000","112,000","153,000","100,000","116,619",21,
1996 September,"85,000","90,000","100,000","150,000","100,000","115,842",19,
1996 October,"90,000","100,000","130,000","140,000","115,000","120,560",25,
1996 November,"85,000","100,000","130,000","150,000","110,000","120,737",19,
1996 December,"85,000","100,000","125,000","140,000","110,000","113,053",19,
1997 January,"85,000","92,000","124,000","137,000","100,000","112,235",17,
1997 February,"87,000","99,000","116,000","138,000","105,000","111,238",21,
1997 March,"85,000","100,000","120,000","145,000","105,000","112,947",19,
1997 April,"85,000","90,000","106,000","136,000","100,000","107,063",16,
1997 May,"89,000","103,000","134,000","161,000","120,000","121,000",23,
1997 June,"86,000","97,000","126,000","153,000","107,500","119,850",20,
1997 July,"86,000","97,000","140,000","173,000","107,500","130,200",20,
1997 August,"86,000","97,000","140,000","173,000","107,500","130,550",20,
1997 September,"85,000","90,000","113,000","161,000","97,500","115,563",16,
1997 October,"85,000","90,000","100,000","135,000","95,000","107,412",17,
1997 November,"85,000","90,000","100,000","135,000","95,000","107,412",17,
1997 December,"80,000","88,000","94,000","102,000","90,000","95,385",13,
1998 January,"80,000","88,000","90,000","102,000","90,000","94,615",13,
1998 February,"80,000","88,000","90,000","102,000","90,000","94,615",13,
1998 March,"78,000","85,000","90,000","102,000","90,000","92,462",13,
1998 April,"78,000","85,000","90,000","102,000","90,000","92,462",13,
1998 May,"78,000","85,000","90,000","102,000","90,000","92,462",13,
1998 June,"80,000","85,000","90,000","98,000","87,500","93,600",10,
1998 July,"80,000","88,000","90,000","166,000","90,000","107,385",13,
1998 August,"78,000","85,000","90,000","113,000","90,000","105,077",13,
1998 September,**,**,**,**,**,**,14,
1998 October,"80,000","85,000","90,000","126,000","87,500","100,833",12,
1998 November,"78,000","85,000","90,000","120,000","87,500","96,750",12,
1998 December,"80,000","85,000","92,000","159,000","90,000","116,909",11,
1999 January,"78,000","81,000","89,000","126,000","85,000","107,750",12,
1999 February,**,**,**,**,**,"89,650",6,
1999 March,**,**,**,**,**,"134,371",7,
1999 April,**,**,**,**,**,"138,443",7,
1999 May,**,**,**,**,**,"170,800",4,
1999 June,**,**,**,**,**,"170,729",7,
1999 July,**,**,**,**,**,"148,388",8,
1999 August,**,**,**,**,**,"141,120",5,
1999 September,**,**,**,**,**,"136,188",8,
1999 October,**,**,**,**,**,**,10,
1999 November,**,**,**,**,**,"173,640",5,
1999 December,**,**,**,**,**,"163,256",9,
2000 January,"112,000","125,000","150,000","228,000","130,000","157,830",10,
2000 February,**,**,**,**,**,"168,175",8,
2000 March,"117,000","129,000","156,000","216,000","142,500","155,140",10,
2000 April,**,**,**,**,**,"158,933",9,
2000 May,"125,000","130,000","159,000","234,000","140,000","165,190",10,
2000 June,"125,000","130,000","146,000","193,000","135,000","151,390",10,
2000 July,**,**,**,**,**,"160,817",6,
2000 August,**,**,**,**,**,"125,656",9,
2000 September,"91,000","100,000","110,000","125,000","110,000","112,052",13,
2000 October,"110,000","114,000","120,000","134,000","120,000","127,981",16,
2000 November,"110,000","115,000","121,000","134,000","120,000","133,225",16,
2000 December,"112,000","119,000","125,000","194,000","120,000","141,618",11,
2001 January,"115,000","125,000","165,000","234,000","125,000","162,592",13,
2001 February,"115,000","125,000","157,000","232,000","125,000","157,300",12,
2001 March,**,**,**,**,**,"143,805",13,
2001 April,"115,000","123,000","133,000","177,000","125,000","140,327",11,
2001 May,"114,000","143,000","165,000","207,000","160,000","161,362",13,
2001 June,"119,000","156,000","165,000","228,000","162,500","172,650",12,
2001 July,**,**,**,**,**,"145,623",10,
2001 August,"78,000","121,000","129,000","165,000","125,000","121,644",12,
2001 September,**,**,**,**,**,"124,867",6,
2001 October,"99,000","121,000","134,000","158,000","125,000","133,323",13,
2001 November,"114,000","120,000","133,000","178,000","125,000","157,131",13,
2001 December,**,**,**,**,**,"170,713",8,
2002 January,**,**,**,**,**,"139,100",8,
2002 February,"122,000","129,000","164,000","194,000","140,000","155,427",11,
2002 March,"121,000","130,000","152,000","184,000","140,000","150,580",15,
2002 April,"125,000","148,000","178,000","212,000","165,000","171,567",12,
2002 May,"120,000","146,000","186,000","206,000","170,000","168,938",13,
2002 June,"121,000","151,000","189,000","200,000","170,000","169,493",15,
2002 July,"120,000","146,000","174,000","196,000","160,000","158,792",13,
2002 August,"120,000","123,000","186,000","214,000","170,000","170,731",13,
2002 September,**,**,**,**,**,"171,000",4,
2002 October,**,**,**,**,**,"198,113",8,
2002 November,"120,000","147,000","174,000","232,000","167,500","181,944",16,
2002 December,"115,000","166,000","182,000","248,000","170,000","195,350",12,
2003 January,"110,000","165,000","195,000","215,000","172,500","172,900",14,
2003 February,"125,000","142,000","170,000","219,000","165,000","165,988",15,
2003 March,"115,000","145,000","169,000","224,000","165,000","167,381",12,
2003 April,"129,000","150,000","186,000","232,000","165,000","174,758",18,
2003 May,"140,000","170,000","210,000","230,000","200,000","189,720",19,
2003 June,"139,000","168,000","200,000","222,000","195,000","184,327",23,
2003 July,"128,000","167,000","198,000","220,000","187,500","182,048",20,
2003 August,"140,000","180,000","200,000","220,000","190,000","182,479",19,
2003 September,"110,000","157,000","189,000","214,000","175,000","169,664",22,
