"Trois-Rivières — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"50,000","57,000","60,000","64,000","60,000","57,680",25,
1990 February,"52,000","55,000","60,000","63,000","60,000","58,154",26,
1990 March,"50,000","55,000","60,000","60,000","60,000","58,000",24,
1990 April,"53,000","55,000","60,000","60,000","55,000","56,889",27,
1990 May,"55,000","55,000","60,000","60,000","57,500","57,367",30,
1990 June,"50,000","55,000","60,000","65,000","60,000","57,969",32,
1990 July,"52,000","55,000","60,000","65,000","60,000","57,731",26,
1990 August,"51,000","55,000","60,000","64,000","60,000","57,440",25,
1990 September,"51,000","55,000","60,000","60,000","55,000","56,440",25,
1990 October,"55,000","55,000","60,000","76,000","60,000","62,313",16,
1990 November,"55,000","58,000","60,000","72,000","60,000","62,056",18,
1990 December,"55,000","60,000","64,000","74,000","60,000","63,353",17,
1991 January,"55,000","60,000","64,000","74,000","60,000","63,353",17,
1991 February,"55,000","60,000","65,000","74,000","60,000","63,647",17,
1991 March,"55,000","60,000","60,000","68,000","60,000","61,063",16,
1991 April,"55,000","56,000","60,000","67,000","60,000","58,833",12,
1991 May,"55,000","59,000","61,000","68,000","60,000","60,375",16,
1991 June,"55,000","60,000","65,000","66,000","60,000","60,889",18,
1991 July,"55,000","60,000","65,000","68,000","62,500","61,375",16,
1991 August,"55,000","60,000","65,000","70,000","65,000","62,100",20,
1991 September,"55,000","60,000","65,000","69,000","62,500","61,350",20,
1991 October,"55,000","60,000","65,000","67,000","60,000","61,000",27,
1991 November,"55,000","61,000","65,000","70,000","65,000","62,984",32,
1991 December,"60,000","65,000","65,000","70,000","65,000","63,513",40,
1992 January,"60,000","64,000","65,000","70,000","65,000","63,815",46,
1992 February,"60,000","65,000","65,000","70,000","65,000","64,364",55,
1992 March,"60,000","65,000","70,000","70,000","65,000","65,009",66,
1992 April,"60,000","65,000","65,000","70,000","65,000","64,773",51,
1992 May,"60,000","65,000","66,000","70,000","65,000","65,320",56,
1992 June,"60,000","65,000","65,000","70,000","65,000","65,146",61,
1992 July,"60,000","65,000","65,000","70,000","65,000","66,952",41,
1992 August,"60,000","65,000","65,000","70,000","65,000","66,860",40,
1992 September,"60,000","65,000","65,000","70,000","65,000","66,610",40,
1992 October,"60,000","65,000","65,000","70,000","65,000","66,571",41,
1992 November,"60,000","65,000","70,000","70,000","65,000","67,145",44,
1992 December,"65,000","65,000","70,000","75,000","70,000","68,108",50,
1993 January,"65,000","65,000","70,000","70,000","67,500","67,810",48,
1993 February,"65,000","65,000","70,000","70,000","70,000","67,896",49,
1993 March,"65,000","65,000","70,000","74,000","70,000","68,130",50,
1993 April,"60,000","65,000","70,000","73,000","70,000","67,769",51,
1993 May,"65,000","65,000","70,000","75,000","65,000","68,242",69,
1993 June,"65,000","65,000","70,000","75,000","70,000","69,769",61,
1993 July,"65,000","65,000","70,000","70,000","65,000","67,575",52,
1993 August,"65,000","65,000","70,000","70,000","65,000","67,391",47,
1993 September,"65,000","65,000","70,000","70,000","65,000","67,867",46,
1993 October,"60,000","65,000","70,000","70,000","65,000","67,020",46,
1993 November,"60,000","65,000","70,000","70,000","65,000","67,543",44,
1993 December,"60,000","65,000","65,000","70,000","65,000","67,062",39,
1994 January,"60,000","65,000","70,000","70,000","65,000","67,372",36,
1994 February,"60,000","65,000","70,000","70,000","70,000","67,763",49,
1994 March,"60,000","65,000","70,000","70,000","65,000","67,604",47,
1994 April,"60,000","65,000","70,000","75,000","70,000","69,867",51,
1994 May,"60,000","65,000","70,000","70,000","65,000","67,052",83,
1994 June,"60,000","65,000","70,000","75,000","65,000","67,720",61,
1994 July,"65,000","65,000","70,000","75,000","65,000","68,056",27,
1994 August,"65,000","65,000","70,000","75,000","70,000","67,955",33,
1994 September,"65,000","66,000","70,000","75,000","70,000","68,662",37,
1994 October,"65,000","65,000","70,000","75,000","70,000","68,577",39,
1994 November,"65,000","70,000","70,000","75,000","70,000","69,564",47,
1994 December,"65,000","70,000","70,000","75,000","70,000","69,241",56,
1995 January,"65,000","70,000","70,000","75,000","70,000","69,060",58,
1995 February,"65,000","70,000","70,000","75,000","70,000","69,754",67,
1995 March,"65,000","70,000","70,000","75,000","70,000","69,579",70,
1995 April,"65,000","70,000","70,000","75,000","70,000","70,145",86,
1995 May,"65,000","70,000","70,000","75,000","70,000","69,698",91,
1995 June,"65,000","70,000","70,000","75,000","70,000","69,722",63,
1995 July,"65,000","70,000","70,000","75,000","70,000","69,669",59,
1995 August,"65,000","70,000","70,000","75,000","70,000","69,886",66,
1995 September,"65,000","70,000","70,000","75,000","70,000","69,774",62,
1995 October,"65,000","70,000","70,000","75,000","70,000","69,619",63,
1995 November,"65,000","70,000","70,000","75,000","70,000","69,288",73,
1995 December,"65,000","70,000","70,000","75,000","70,000","69,111",72,
1996 January,"65,000","70,000","70,000","75,000","70,000","69,157",70,
1996 February,"65,000","70,000","70,000","75,000","70,000","69,061",66,
1996 March,"65,000","70,000","70,000","75,000","70,000","68,794",63,
1996 April,"65,000","70,000","70,000","75,000","70,000","68,935",62,
1996 May,"65,000","70,000","70,000","75,000","70,000","68,945",55,
1996 June,"65,000","70,000","70,000","75,000","70,000","68,823",65,
1996 July,"65,000","70,000","70,000","75,000","70,000","68,800",55,
1996 August,"65,000","70,000","70,000","75,000","70,000","69,413",55,
1996 September,"65,000","70,000","70,000","75,000","70,000","69,303",60,
1996 October,"65,000","70,000","70,000","75,000","70,000","70,620",60,
1996 November,"65,000","70,000","70,000","75,000","70,000","70,731",68,
1996 December,"65,000","70,000","75,000","75,000","70,000","71,143",68,
1997 January,"65,000","70,000","75,000","75,000","70,000","71,135",72,
1997 February,"65,000","70,000","75,000","80,000","70,000","71,363",67,
1997 March,"65,000","70,000","75,000","80,000","70,000","71,251",65,
1997 April,"65,000","70,000","75,000","80,000","70,000","71,256",62,
1997 May,"65,000","70,000","75,000","80,000","70,000","70,431",67,
1997 June,"60,000","70,000","70,000","75,000","70,000","69,087",67,
1997 July,"65,000","70,000","75,000","80,000","70,000","71,493",68,
1997 August,"65,000","70,000","75,000","80,000","70,000","71,106",63,
1997 September,"65,000","70,000","75,000","80,000","70,000","71,106",63,
1997 October,"65,000","70,000","75,000","80,000","70,000","69,980",66,
1997 November,"65,000","70,000","70,000","80,000","70,000","69,687",68,
1997 December,"65,000","70,000","75,000","79,000","70,000","69,911",70,
1998 January,"65,000","70,000","75,000","80,000","70,000","70,025",72,
1998 February,"65,000","70,000","71,000","75,000","70,000","70,270",66,
1998 March,"65,000","70,000","71,000","75,000","70,000","70,270",66,
1998 April,"65,000","70,000","70,000","75,000","70,000","69,997",66,
1998 May,"65,000","70,000","70,000","75,000","70,000","70,632",63,
