"Victoria — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,"156,800",17,
1990 February,**,**,**,**,**,"180,709",22,
1990 March,**,**,**,**,**,"176,978",18,
1990 April,**,**,**,**,**,"183,171",21,
1990 May,**,**,**,**,**,"191,290",20,
1990 June,**,**,**,**,**,"182,176",21,
1990 July,**,**,**,**,**,"183,629",20,
1990 August,**,**,**,**,**,"184,442",24,
1990 September,"130,000","142,000","192,000","231,000","170,000","190,253",17,
1990 October,"130,000","135,000","166,000","219,000","140,000","177,173",22,
1990 November,"134,000","162,000","254,000","355,000","215,000","235,539",33,
1990 December,"130,000","150,000","250,000","335,000","215,000","230,174",39,
1991 January,"130,000","168,000","250,000","345,000","215,000","234,256",36,
1991 February,"130,000","159,000","220,000","343,000","180,000","224,845",31,
1991 March,"130,000","152,000","211,000","298,000","170,000","211,026",27,
1991 April,"130,000","162,000","186,000","256,000","180,000","201,811",28,
1991 May,"130,000","172,000","192,000","262,000","180,000","203,730",27,
1991 June,"130,000","150,000","180,000","240,000","180,000","193,013",24,
1991 July,"130,000","140,000","180,000","207,000","175,000","177,473",26,
1991 August,"130,000","130,000","174,000","199,000","142,500","170,182",28,
1991 September,"130,000","132,000","178,000","203,000","145,000","172,059",27,
1991 October,"130,000","146,000","180,000","203,000","180,000","178,407",27,
1991 November,"130,000","172,000","180,000","215,000","180,000","187,460",30,
1991 December,"130,000","155,000","180,000","207,000","180,000","181,150",26,
1992 January,"130,000","161,000","180,000","208,000","175,000","180,663",30,
1992 February,"130,000","145,000","186,000","215,000","160,000","178,250",30,
1992 March,**,**,**,**,**,"187,764",11,
1992 April,**,**,**,**,**,"162,725",8,
1992 May,"124,000","156,000","174,000","250,000","165,000","176,809",11,
1992 June,"152,000","170,000","182,000","240,000","170,000","185,008",12,
1992 July,"150,000","170,000","185,000","222,000","177,500","185,842",12,
1992 August,"166,000","175,000","185,000","200,000","185,000","186,206",18,
1992 September,**,**,**,**,**,"196,386",14,
1992 October,**,**,**,**,**,**,18,
1992 November,"162,000","183,000","200,000","250,000","190,000","201,162",26,
1992 December,"163,000","171,000","190,000","250,000","187,500","195,514",22,
1993 January,"170,000","180,000","194,000","250,000","190,000","201,887",23,
1993 February,"170,000","190,000","225,000","258,000","195,000","220,310",20,
1993 March,"175,000","185,000","215,000","258,000","190,000","220,428",25,
1993 April,"170,000","180,000","189,000","242,000","185,000","210,052",23,
1993 May,"175,000","188,000","222,000","270,000","200,000","218,245",22,
1993 June,"178,000","192,000","210,000","230,000","210,000","209,278",27,
1993 July,"175,000","198,000","210,000","254,000","210,000","212,710",21,
1993 August,"175,000","200,000","210,000","250,000","205,000","221,094",34,
1993 September,"175,000","200,000","210,000","240,000","200,000","219,985",34,
1993 October,"190,000","200,000","225,000","278,000","220,000","236,076",25,
1993 November,"180,000","206,000","222,000","272,000","220,000","235,922",23,
1993 December,"188,000","213,000","267,000","282,000","225,000","245,386",28,
1994 January,"194,000","204,000","230,000","280,000","210,000","238,552",31,
1994 February,"200,000","214,000","253,000","288,000","235,000","247,355",31,
1994 March,"190,000","210,000","246,000","288,000","230,000","239,072",46,
1994 April,"180,000","200,000","237,000","290,000","220,000","236,151",43,
1994 May,"190,000","210,000","250,000","300,000","232,500","256,241",44,
1994 June,"195,000","220,000","270,000","305,000","235,000","263,908",39,
1994 July,"199,000","233,000","290,000","330,000","260,000","268,784",38,
1994 August,"200,000","220,000","284,000","307,000","240,000","262,992",37,
1994 September,"208,000","220,000","280,000","318,000","240,000","275,426",42,
