Ottawa — Historical Absorbed Homeowner and Condominium Units by Dwelling Type  
January 1990 to March 2024 Condo
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,0,0,15,0,15,
Feb 1990,0,0,23,48,71,
Mar 1990,0,0,44,156,200,
Apr 1990,0,0,10,9,19,
May 1990,0,0,48,13,61,
Jun 1990,0,0,51,29,80,
Jul 1990,0,0,12,37,49,
Aug 1990,0,0,15,15,30,
Sep 1990,0,0,5,10,15,
Oct 1990,0,0,15,58,73,
Nov 1990,0,0,39,7,46,
Dec 1990,0,0,72,38,110,
Jan 1991,0,0,11,3,14,
Feb 1991,0,0,7,31,38,
Mar 1991,0,0,54,265,319,
Apr 1991,0,0,5,79,84,
May 1991,0,0,13,1,14,
Jun 1991,0,0,7,3,10,
Jul 1991,0,0,7,46,53,
Aug 1991,0,0,1,20,21,
Sep 1991,0,0,29,21,50,
Oct 1991,0,0,20,17,37,
Nov 1991,0,0,68,36,104,
Dec 1991,0,0,3,4,7,
Jan 1992,0,0,18,38,56,
Feb 1992,0,0,15,29,44,
Mar 1992,0,0,10,19,29,
Apr 1992,0,0,34,31,65,
May 1992,0,0,3,1,4,
Jun 1992,0,0,4,29,33,
Jul 1992,0,0,12,24,36,
Aug 1992,0,0,2,40,42,
Sep 1992,0,0,1,24,25,
Oct 1992,0,0,38,27,65,
Nov 1992,0,0,3,3,6,
Dec 1992,0,0,30,8,38,
Jan 1993,0,0,3,18,21,
Feb 1993,0,0,10,4,14,
Mar 1993,0,0,13,12,25,
Apr 1993,0,0,23,22,45,
May 1993,0,0,21,7,28,
Jun 1993,0,0,9,33,42,
Jul 1993,0,0,2,24,26,
Aug 1993,0,0,5,21,26,
Sep 1993,0,0,3,26,29,
Oct 1993,0,0,0,22,22,
Nov 1993,0,0,0,9,9,
Dec 1993,0,0,0,3,3,
Jan 1994,0,0,5,5,10,
Feb 1994,0,0,2,11,13,
Mar 1994,0,0,1,8,9,
Apr 1994,0,10,1,5,16,
May 1994,0,0,1,6,7,
Jun 1994,0,0,0,17,17,
Jul 1994,0,0,0,16,16,
Aug 1994,0,0,0,0,0,
Sep 1994,0,0,0,11,11,
Oct 1994,0,0,0,28,28,
Nov 1994,0,0,0,8,8,
Dec 1994,0,0,0,11,11,
Jan 1995,0,0,1,11,12,
Feb 1995,0,0,0,13,13,
Mar 1995,0,0,0,7,7,
Apr 1995,0,0,2,2,4,
May 1995,0,0,0,1,1,
Jun 1995,0,0,1,6,7,
Jul 1995,0,0,0,30,30,
Aug 1995,0,0,0,16,16,
Sep 1995,0,0,0,6,6,
Oct 1995,0,0,2,9,11,
Nov 1995,0,0,0,38,38,
Dec 1995,0,0,0,61,61,
Jan 1996,0,0,0,0,0,
Feb 1996,0,0,0,15,15,
Mar 1996,0,0,0,19,19,
Apr 1996,0,0,0,36,36,
May 1996,0,0,0,21,21,
Jun 1996,0,0,0,9,9,
Jul 1996,0,0,0,14,14,
Aug 1996,0,0,0,0,0,
Sep 1996,0,0,4,4,8,
Oct 1996,0,0,0,18,18,
Nov 1996,0,0,0,4,4,
Dec 1996,0,0,0,1,1,
Jan 1997,0,0,1,9,10,
Feb 1997,0,0,0,9,9,
Mar 1997,0,0,0,39,39,
Apr 1997,0,0,4,19,23,
May 1997,0,0,6,3,9,
Jun 1997,0,0,0,3,3,
Jul 1997,0,0,2,11,13,
Aug 1997,0,0,0,19,19,
Sep 1997,0,0,5,58,63,
Oct 1997,0,0,13,2,15,
Nov 1997,0,0,6,2,8,
Dec 1997,0,0,0,5,5,
Jan 1998,0,0,1,26,27,
Feb 1998,0,0,0,4,4,
Mar 1998,0,0,3,1,4,
Apr 1998,0,0,0,4,4,
May 1998,0,0,3,20,23,
Jun 1998,0,0,5,2,7,
Jul 1998,0,0,0,6,6,
Aug 1998,0,0,2,50,52,
Sep 1998,0,0,0,4,4,
Oct 1998,0,0,0,0,0,
Nov 1998,0,0,0,5,5,
Dec 1998,0,0,0,0,0,
Jan 1999,0,0,0,1,1,
Feb 1999,0,0,0,7,7,
Mar 1999,0,0,0,2,2,
Apr 1999,0,0,0,2,2,
May 1999,0,0,0,3,3,
Jun 1999,0,0,6,1,7,
Jul 1999,0,0,0,0,0,
Aug 1999,0,0,0,67,67,
Sep 1999,0,0,2,17,19,
Oct 1999,0,0,0,2,2,
Nov 1999,0,0,0,1,1,
Dec 1999,0,0,0,1,1,
Jan 2000,0,0,0,0,0,
Feb 2000,0,0,0,24,24,
Mar 2000,0,0,0,5,5,
Apr 2000,0,0,0,9,9,
May 2000,0,0,9,1,10,
Jun 2000,0,0,0,1,1,
Jul 2000,0,0,1,5,6,
Aug 2000,0,0,0,1,1,
Sep 2000,0,0,0,0,0,
Oct 2000,0,0,0,0,0,
Nov 2000,0,0,2,0,2,
Dec 2000,0,0,0,1,1,
Jan 2001,0,0,0,0,0,
Feb 2001,0,0,0,18,18,
Mar 2001,0,0,0,0,0,
Apr 2001,0,0,0,10,10,
May 2001,0,0,0,0,0,
Jun 2001,0,0,0,10,10,
Jul 2001,0,0,0,13,13,
Aug 2001,0,0,3,12,15,
Sep 2001,0,0,0,37,37,
Oct 2001,0,0,20,9,29,
Nov 2001,0,0,0,12,12,
Dec 2001,0,0,1,4,5,
Jan 2002,0,0,3,51,54,
Feb 2002,0,0,6,1,7,
Mar 2002,0,0,12,0,12,
Apr 2002,0,0,0,41,41,
May 2002,0,0,7,12,19,
Jun 2002,0,0,4,7,11,
Jul 2002,0,0,2,6,8,
Aug 2002,0,0,2,76,78,
Sep 2002,0,0,1,31,32,
Oct 2002,0,0,0,3,3,
Nov 2002,0,0,0,2,2,
Dec 2002,0,0,0,2,2,
Jan 2003,0,0,0,6,6,
Feb 2003,0,0,1,1,2,
Mar 2003,0,0,0,0,0,
Apr 2003,0,0,0,4,4,
May 2003,0,0,0,7,7,
Jun 2003,0,0,0,30,30,
Jul 2003,0,0,0,3,3,
Aug 2003,0,0,5,1,6,
Sep 2003,0,0,0,1,1,
Oct 2003,0,0,1,0,1,
Nov 2003,0,0,4,3,7,
Dec 2003,0,0,0,115,115,
Jan 2004,0,0,0,82,82,
Feb 2004,0,0,2,50,52,
Mar 2004,0,0,0,1,1,
Apr 2004,0,0,0,0,0,
May 2004,0,0,21,0,21,
Jun 2004,0,0,0,122,122,
Jul 2004,0,0,14,0,14,
Aug 2004,0,0,42,262,304,
Sep 2004,0,0,54,60,114,
Oct 2004,0,0,45,1,46,
Nov 2004,0,0,52,143,195,
Dec 2004,0,0,53,0,53,
Jan 2005,0,0,45,77,122,
Feb 2005,0,0,38,104,142,
Mar 2005,0,0,21,80,101,
Apr 2005,0,0,36,101,137,
May 2005,0,0,40,19,59,
Jun 2005,0,1,51,138,190,
Jul 2005,0,1,21,20,42,
Aug 2005,0,0,105,96,201,
Sep 2005,0,0,38,87,125,
Oct 2005,0,1,46,36,83,
Nov 2005,0,2,29,129,160,
Dec 2005,0,0,25,4,29,
Jan 2006,0,0,47,37,84,
Feb 2006,0,1,4,4,9,
Mar 2006,0,0,24,5,29,
Apr 2006,0,0,39,235,274,
May 2006,0,0,45,66,111,
Jun 2006,0,0,13,23,36,
Jul 2006,0,0,7,97,104,
Aug 2006,0,0,9,95,104,
Sep 2006,0,0,4,98,102,
Oct 2006,0,0,14,6,20,
Nov 2006,0,0,5,40,45,
Dec 2006,0,0,11,25,36,
Jan 2007,0,0,1,21,22,
Feb 2007,0,0,1,42,43,
Mar 2007,0,0,5,17,22,
Apr 2007,0,2,21,44,67,
May 2007,0,0,2,69,71,
Jun 2007,0,0,0,304,304,
Jul 2007,0,0,8,285,293,
Aug 2007,0,0,0,32,32,
Sep 2007,0,0,3,52,55,
Oct 2007,0,0,0,39,39,
Nov 2007,0,0,5,40,45,
Dec 2007,0,0,9,109,118,
Jan 2008,0,0,4,33,37,
Feb 2008,0,0,14,26,40,
Mar 2008,0,0,0,186,186,
Apr 2008,0,0,0,44,44,
May 2008,0,2,1,39,42,
Jun 2008,0,0,1,86,87,
Jul 2008,0,0,21,341,362,
Aug 2008,0,0,27,65,92,
Sep 2008,0,0,7,40,47,
Oct 2008,0,0,1,5,6,
Nov 2008,0,0,0,73,73,
Dec 2008,0,0,8,183,191,
Jan 2009,0,0,0,56,56,
Feb 2009,0,0,0,36,36,
Mar 2009,0,0,0,116,116,
Apr 2009,0,0,0,92,92,
May 2009,0,0,0,43,43,
Jun 2009,0,0,0,164,164,
Jul 2009,0,0,0,148,148,
Aug 2009,0,0,0,55,55,
Sep 2009,0,0,10,25,35,
Oct 2009,0,0,0,73,73,
Nov 2009,0,0,0,115,115,
Dec 2009,0,0,0,25,25,
Jan 2010,0,0,18,384,402,
Feb 2010,0,0,0,85,85,
Mar 2010,0,0,0,19,19,
Apr 2010,0,0,0,16,16,
May 2010,0,0,0,63,63,
Jun 2010,0,0,0,21,21,
Jul 2010,0,0,0,54,54,
Aug 2010,0,0,0,85,85,
Sep 2010,0,0,8,329,337,
Oct 2010,0,0,0,239,239,
Nov 2010,0,0,0,81,81,
Dec 2010,0,0,0,86,86,
Jan 2011,0,0,16,215,231,
Feb 2011,0,0,0,100,100,
Mar 2011,0,0,0,28,28,
Apr 2011,0,0,0,46,46,
May 2011,0,0,0,54,54,
Jun 2011,0,0,0,135,135,
Jul 2011,0,0,10,370,380,
Aug 2011,0,0,0,99,99,
Sep 2011,0,0,0,26,26,
Oct 2011,0,0,0,81,81,
Nov 2011,0,0,1,98,99,
Dec 2011,0,0,0,116,116,
Jan 2012,0,0,0,404,404,
Feb 2012,0,0,1,91,92,
Mar 2012,0,0,0,53,53,
Apr 2012,0,0,1,20,21,
May 2012,0,0,0,99,99,
Jun 2012,0,0,0,59,59,
Jul 2012,0,0,0,95,95,
