Fredericton — Historical Completions by Dwelling Type  
January 1990 to March 2024 Rental
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,0,0,0,0,0,
Feb 1990,13,0,0,0,13,
Mar 1990,0,2,0,0,2,
Apr 1990,0,0,0,0,0,
May 1990,0,0,0,0,0,
Jun 1990,0,0,0,0,0,
Jul 1990,0,0,0,0,0,
Aug 1990,0,0,0,124,124,
Sep 1990,0,2,0,0,2,
Oct 1990,0,0,0,0,0,
Nov 1990,0,0,0,0,0,
Dec 1990,0,0,0,0,0,
Jan 1991,0,0,0,0,0,
Feb 1991,0,0,0,6,6,
Mar 1991,0,0,0,0,0,
Apr 1991,0,0,0,0,0,
May 1991,0,0,0,0,0,
Jun 1991,0,0,0,62,62,
Jul 1991,0,0,0,0,0,
Aug 1991,0,0,0,0,0,
Sep 1991,0,4,0,16,20,
Oct 1991,0,4,0,57,61,
Nov 1991,0,0,0,0,0,
Dec 1991,0,0,0,0,0,
Jan 1992,0,2,0,0,2,
Feb 1992,0,0,0,24,24,
Mar 1992,0,0,0,4,4,
Apr 1992,0,0,0,0,0,
May 1992,0,0,0,0,0,
Jun 1992,0,0,0,0,0,
Jul 1992,0,0,0,0,0,
Aug 1992,0,0,0,36,36,
Sep 1992,0,0,0,0,0,
Oct 1992,0,0,0,83,83,
Nov 1992,0,0,0,0,0,
Dec 1992,0,0,0,8,8,
Jan 1993,0,0,0,0,0,
Feb 1993,0,0,0,18,18,
Mar 1993,0,0,0,0,0,
Apr 1993,0,0,0,0,0,
May 1993,0,0,0,0,0,
Jun 1993,0,0,0,0,0,
Jul 1993,0,0,0,0,0,
Aug 1993,0,2,0,0,2,
Sep 1993,0,0,0,76,76,
Oct 1993,0,0,0,12,12,
Nov 1993,0,0,0,0,0,
Dec 1993,0,0,0,0,0,
Jan 1994,0,0,0,17,17,
Feb 1994,0,0,0,0,0,
Mar 1994,0,2,0,0,2,
Apr 1994,0,0,0,0,0,
May 1994,0,0,0,0,0,
Jun 1994,0,0,0,0,0,
Jul 1994,0,0,0,0,0,
Aug 1994,0,0,0,0,0,
Sep 1994,0,0,0,0,0,
Oct 1994,0,0,0,0,0,
Nov 1994,0,0,0,102,102,
Dec 1994,0,0,0,9,9,
Jan 1995,0,0,0,0,0,
Feb 1995,0,0,0,0,0,
Mar 1995,0,2,0,48,50,
Apr 1995,0,0,0,0,0,
May 1995,0,0,0,0,0,
Jun 1995,0,0,0,0,0,
Jul 1995,0,0,0,0,0,
Aug 1995,0,0,0,6,6,
Sep 1995,0,0,0,0,0,
Oct 1995,0,0,0,8,8,
Nov 1995,0,0,0,27,27,
Dec 1995,0,0,0,0,0,
Jan 1996,0,0,0,0,0,
Feb 1996,0,0,0,0,0,
Mar 1996,0,0,0,0,0,
Apr 1996,0,0,0,0,0,
May 1996,0,0,0,0,0,
Jun 1996,0,0,0,0,0,
Jul 1996,0,0,0,0,0,
Aug 1996,0,0,0,0,0,
Sep 1996,0,0,0,0,0,
Oct 1996,0,0,0,45,45,
Nov 1996,0,0,0,0,0,
Dec 1996,0,0,14,12,26,
Jan 1997,0,0,0,0,0,
Feb 1997,0,0,0,0,0,
Mar 1997,0,0,0,0,0,
Apr 1997,0,0,0,0,0,
May 1997,0,0,0,0,0,
Jun 1997,0,0,0,0,0,
Jul 1997,0,0,0,0,0,
Aug 1997,0,0,0,0,0,
Sep 1997,0,0,0,0,0,
Oct 1997,0,0,0,0,0,
Nov 1997,0,0,0,48,48,
Dec 1997,0,0,0,0,0,
Jan 1998,0,0,0,0,0,
Feb 1998,0,0,0,14,14,
Mar 1998,0,0,8,0,8,
Apr 1998,0,0,0,0,0,
May 1998,0,0,0,0,0,
Jun 1998,0,0,0,93,93,
Jul 1998,0,0,0,0,0,
Aug 1998,0,0,0,4,4,
Sep 1998,0,2,0,10,12,
Oct 1998,0,0,0,24,24,
Nov 1998,0,0,13,0,13,
Dec 1998,0,0,0,0,0,
Jan 1999,0,0,0,0,0,
Feb 1999,0,0,0,0,0,
Mar 1999,0,0,0,0,0,
Apr 1999,0,0,12,56,68,
May 1999,0,2,0,0,2,
Jun 1999,0,2,0,0,2,
Jul 1999,0,2,0,0,2,
Aug 1999,1,4,0,0,5,
Sep 1999,7,6,0,0,13,
Oct 1999,10,0,0,24,34,
Nov 1999,10,6,24,13,53,
Dec 1999,0,2,0,0,2,
Jan 2000,2,2,0,0,4,
Feb 2000,0,0,0,0,0,
Mar 2000,3,2,0,0,5,
Apr 2000,8,2,0,0,10,
May 2000,9,0,0,12,21,
Jun 2000,3,0,0,0,3,
Jul 2000,18,0,0,0,18,
Aug 2000,3,0,0,40,43,
Sep 2000,5,4,0,0,9,
Oct 2000,12,1,0,0,13,
Nov 2000,2,0,0,0,2,
Dec 2000,1,2,5,0,8,
Jan 2001,7,0,0,1,8,
Feb 2001,7,2,0,0,9,
Mar 2001,2,2,0,10,14,
Apr 2001,7,0,0,0,7,
May 2001,4,0,0,0,4,
Jun 2001,10,0,0,40,50,
Jul 2001,4,0,0,31,35,
Aug 2001,15,2,0,68,85,
Sep 2001,1,0,0,0,1,
Oct 2001,4,0,4,0,8,
Nov 2001,3,0,0,0,3,
Dec 2001,7,0,0,0,7,
Jan 2002,6,0,0,0,6,
Feb 2002,6,3,0,31,40,
Mar 2002,6,2,0,4,12,
Apr 2002,5,4,0,0,9,
May 2002,7,0,0,17,24,
Jun 2002,3,0,0,0,3,
Jul 2002,3,0,0,1,4,
Aug 2002,0,0,0,0,0,
Sep 2002,7,0,0,102,109,
Oct 2002,7,0,4,0,11,
Nov 2002,6,0,0,0,6,
Dec 2002,0,0,0,0,0,
Jan 2003,6,0,0,0,6,
Feb 2003,1,0,0,8,9,
Mar 2003,1,0,0,0,1,
Apr 2003,2,0,0,0,2,
May 2003,7,2,0,0,9,
Jun 2003,3,0,0,0,3,
Jul 2003,4,0,0,0,4,
Aug 2003,11,2,0,40,53,
Sep 2003,3,0,0,0,3,
Oct 2003,5,2,0,97,104,
Nov 2003,10,0,0,46,56,
Dec 2003,6,0,0,4,10,
Jan 2004,2,4,0,0,6,
Feb 2004,0,0,0,0,0,
Mar 2004,4,0,0,147,151,
Apr 2004,8,0,10,0,18,
May 2004,8,0,6,0,14,
Jun 2004,12,0,8,4,24,
Jul 2004,4,0,0,0,4,
Aug 2004,0,0,0,0,0,
Sep 2004,2,0,0,40,42,
Oct 2004,0,0,0,0,0,
Nov 2004,4,0,4,0,8,
Dec 2004,17,0,41,52,110,
Jan 2005,5,0,0,0,5,
Feb 2005,5,0,0,38,43,
Mar 2005,6,0,0,32,38,
Apr 2005,6,0,0,0,6,
May 2005,5,0,9,4,18,
Jun 2005,15,0,0,0,15,
Jul 2005,4,0,0,15,19,
Aug 2005,4,0,0,0,4,
Sep 2005,3,0,0,30,33,
Oct 2005,16,0,0,0,16,
Nov 2005,10,0,0,0,10,
Dec 2005,9,0,10,16,35,
Jan 2006,8,0,10,0,18,
Feb 2006,3,0,10,0,13,
Mar 2006,4,0,0,0,4,
Apr 2006,1,0,0,0,1,
May 2006,3,0,0,86,89,
Jun 2006,4,0,0,0,4,
Jul 2006,4,0,0,0,4,
Aug 2006,3,0,9,2,14,
Sep 2006,14,0,0,0,14,
Oct 2006,16,0,0,0,16,
Nov 2006,8,0,0,0,8,
Dec 2006,2,0,0,0,2,
Jan 2007,7,0,0,0,7,
Feb 2007,1,0,0,0,1,
Mar 2007,2,0,7,0,9,
Apr 2007,0,0,0,0,0,
May 2007,2,0,0,0,2,
Jun 2007,0,0,0,0,0,
Jul 2007,4,0,0,0,4,
Aug 2007,4,0,0,59,63,
Sep 2007,2,0,0,0,2,
Oct 2007,11,0,11,16,38,
Nov 2007,4,0,0,0,4,
Dec 2007,4,0,0,0,4,
Jan 2008,8,0,0,0,8,
Feb 2008,3,0,0,0,3,
Mar 2008,7,0,0,0,7,
Apr 2008,8,0,0,0,8,
May 2008,3,0,0,40,43,
Jun 2008,5,0,0,0,5,
Jul 2008,5,0,0,16,21,
Aug 2008,4,0,0,35,39,
Sep 2008,0,0,0,16,16,
Oct 2008,20,0,0,0,20,
Nov 2008,1,0,0,0,1,
Dec 2008,5,0,0,0,5,
Jan 2009,3,0,0,0,3,
Feb 2009,4,0,0,0,4,
Mar 2009,0,0,0,0,0,
Apr 2009,4,0,0,0,4,
May 2009,3,0,11,61,75,
Jun 2009,4,0,0,0,4,
Jul 2009,4,0,0,0,4,
Aug 2009,5,0,0,0,5,
Sep 2009,4,0,0,0,4,
Oct 2009,4,0,0,0,4,
Nov 2009,2,0,0,0,2,
