London — Historical Starts by Dwelling Type  
January 1998 to March 2024 Homeowner
,Single,Semi-Detached,Row,Apartment,All,
Jan 1998,57,4,0,0,61,
Feb 1998,66,4,0,0,70,
Mar 1998,82,4,0,0,86,
Apr 1998,116,8,0,0,124,
May 1998,139,4,0,0,143,
Jun 1998,111,2,0,0,113,
Jul 1998,128,4,0,0,132,
Aug 1998,132,0,0,0,132,
Sep 1998,92,0,0,0,92,
Oct 1998,100,4,0,0,104,
Nov 1998,97,4,0,2,103,
Dec 1998,67,0,0,0,67,
Jan 1999,53,0,0,0,53,
Feb 1999,41,2,0,0,43,
Mar 1999,61,2,0,0,63,
Apr 1999,95,0,0,0,95,
May 1999,124,4,0,0,128,
Jun 1999,140,2,0,0,142,
Jul 1999,155,2,0,0,157,
Aug 1999,110,0,0,0,110,
Sep 1999,157,10,0,0,167,
Oct 1999,124,2,0,0,126,
Nov 1999,105,6,0,0,111,
Dec 1999,90,2,0,0,92,
Jan 2000,58,0,0,0,58,
Feb 2000,61,0,0,0,61,
Mar 2000,81,2,0,0,83,
Apr 2000,114,0,0,0,114,
May 2000,118,0,3,0,121,
Jun 2000,147,0,0,0,147,
Jul 2000,131,0,0,0,131,
Aug 2000,97,0,7,0,104,
Sep 2000,96,0,0,0,96,
Oct 2000,87,2,7,0,96,
Nov 2000,76,6,3,0,85,
Dec 2000,78,0,0,0,78,
Jan 2001,45,0,0,0,45,
Feb 2001,49,0,0,0,49,
Mar 2001,70,0,3,0,73,
Apr 2001,109,0,0,0,109,
May 2001,122,0,0,0,122,
Jun 2001,138,0,3,0,141,
Jul 2001,142,0,3,0,145,
Aug 2001,121,4,3,0,128,
Sep 2001,122,4,0,0,126,
Oct 2001,101,2,0,0,103,
Nov 2001,108,0,3,0,111,
Dec 2001,94,0,0,0,94,
Jan 2002,88,0,3,0,91,
Feb 2002,113,0,0,0,113,
Mar 2002,122,0,3,0,125,
Apr 2002,178,0,3,0,181,
May 2002,227,4,7,0,238,
Jun 2002,219,0,3,0,222,
Jul 2002,185,2,7,0,194,
Aug 2002,205,2,7,0,214,
Sep 2002,163,6,0,0,169,
Oct 2002,125,2,13,0,140,
Nov 2002,162,0,3,0,165,
Dec 2002,104,0,0,0,104,
Jan 2003,85,0,4,0,89,
Feb 2003,104,2,7,0,113,
Mar 2003,117,0,6,0,123,
Apr 2003,151,0,11,0,162,
May 2003,174,2,0,0,176,
Jun 2003,185,0,3,0,188,
Jul 2003,188,2,4,0,194,
Aug 2003,187,2,0,0,189,
Sep 2003,145,6,0,0,151,
Oct 2003,196,0,6,0,202,
Nov 2003,138,0,0,0,138,
Dec 2003,122,0,0,0,122,
Jan 2004,106,0,0,0,106,
Feb 2004,102,0,0,0,102,
Mar 2004,143,0,0,0,143,
Apr 2004,204,0,0,0,204,
