Calgary — Historical Inventory of Completed and Unabsorbed Homeowner and Condominium Units by Dwelling Type  
January 1990 to March 2024 Homeowner
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,289,23,9,0,321,
Feb 1990,279,21,2,0,302,
Mar 1990,404,20,1,0,425,
Apr 1990,446,26,0,0,472,
May 1990,463,18,22,0,503,
Jun 1990,514,26,7,0,547,
Jul 1990,566,17,6,0,589,
Aug 1990,475,17,0,0,492,
Sep 1990,558,17,0,0,575,
Oct 1990,556,21,0,0,577,
Nov 1990,538,26,0,0,564,
Dec 1990,489,25,0,0,514,
Jan 1991,397,27,0,0,424,
Feb 1991,387,30,0,0,417,
Mar 1991,368,32,0,0,400,
Apr 1991,434,40,0,0,474,
May 1991,461,52,0,0,513,
Jun 1991,481,49,0,0,530,
Jul 1991,471,62,0,0,533,
Aug 1991,512,66,0,0,578,
Sep 1991,521,60,0,0,581,
Oct 1991,533,62,0,0,595,
Nov 1991,497,61,4,0,562,
Dec 1991,486,57,4,0,547,
Jan 1992,486,48,7,0,541,
Feb 1992,557,62,3,0,622,
Mar 1992,446,57,3,0,506,
Apr 1992,444,47,0,0,491,
May 1992,437,48,0,0,485,
Jun 1992,439,59,0,1,499,
Jul 1992,395,55,0,0,450,
Aug 1992,377,57,0,0,434,
Sep 1992,348,46,0,0,394,
Oct 1992,352,51,0,0,403,
Nov 1992,363,49,0,0,412,
Dec 1992,344,49,0,0,393,
Jan 1993,329,46,0,0,375,
Feb 1993,345,44,0,4,393,
Mar 1993,391,38,0,4,433,
Apr 1993,407,42,0,4,453,
May 1993,455,51,0,0,506,
Jun 1993,489,64,0,0,553,
Jul 1993,480,62,1,0,543,
Aug 1993,495,64,1,0,560,
Sep 1993,487,71,1,0,559,
Oct 1993,477,70,1,0,548,
Nov 1993,487,65,1,0,553,
Dec 1993,474,58,3,0,535,
Jan 1994,513,54,3,0,570,
Feb 1994,573,55,5,0,633,
Mar 1994,542,55,7,0,604,
Apr 1994,499,52,6,0,557,
May 1994,514,49,9,0,572,
Jun 1994,494,37,6,0,537,
Jul 1994,507,29,6,0,542,
Aug 1994,517,28,6,0,551,
Sep 1994,560,35,6,0,601,
Oct 1994,565,39,6,0,610,
Nov 1994,554,35,5,0,594,
Dec 1994,521,35,3,0,559,
Jan 1995,525,36,3,0,564,
Feb 1995,740,39,9,0,788,
Mar 1995,750,39,12,0,801,
Apr 1995,756,40,12,0,808,
May 1995,749,41,11,0,801,
Jun 1995,720,39,18,0,777,
Jul 1995,697,37,14,0,748,
Aug 1995,654,38,11,0,703,
Sep 1995,592,38,5,0,635,
Oct 1995,605,39,6,0,650,
Nov 1995,600,39,4,0,643,
Dec 1995,596,38,3,0,637,
Jan 1996,603,35,2,0,640,
Feb 1996,623,35,2,0,660,
Mar 1996,637,37,2,0,676,
Apr 1996,593,38,4,0,635,
May 1996,563,38,7,0,608,
Jun 1996,575,39,6,0,620,
Jul 1996,536,39,6,0,581,
Aug 1996,501,42,5,0,548,
Sep 1996,484,43,4,0,531,
Oct 1996,480,41,7,0,528,
Nov 1996,488,43,14,0,545,
Dec 1996,446,37,11,0,494,
Jan 1997,433,38,10,0,481,
Feb 1997,435,37,8,0,480,
Mar 1997,452,40,8,0,500,
Apr 1997,469,43,5,0,517,
May 1997,439,37,4,3,483,
Jun 1997,445,36,2,2,485,
Jul 1997,451,47,0,2,500,
Aug 1997,454,39,0,2,495,
Sep 1997,439,46,0,2,487,
Oct 1997,421,45,0,2,468,
Nov 1997,431,44,0,2,477,
Dec 1997,440,45,0,1,486,
Jan 1998,453,49,0,1,503,
Feb 1998,471,45,0,1,517,
Mar 1998,499,51,0,0,550,
Apr 1998,583,49,1,0,633,
May 1998,547,47,1,0,595,
Jun 1998,575,44,0,2,621,
Jul 1998,591,44,0,1,636,
Aug 1998,614,45,0,0,659,
Sep 1998,676,41,1,3,721,
Oct 1998,704,47,1,3,755,
Nov 1998,743,54,1,1,799,
Dec 1998,724,39,1,1,765,
Jan 1999,826,40,1,1,868,
Feb 1999,867,36,1,1,905,
Mar 1999,906,46,2,1,955,
Apr 1999,843,52,2,0,897,
May 1999,857,51,1,0,909,
Jun 1999,868,49,2,0,919,
Jul 1999,807,56,7,0,870,
Aug 1999,800,56,6,0,862,
Sep 1999,786,58,6,0,850,
Oct 1999,770,65,5,0,840,
Nov 1999,764,67,5,0,836,
Dec 1999,778,85,2,0,865,
Jan 2000,766,89,2,1,858,
Feb 2000,822,84,0,0,906,
Mar 2000,827,94,0,0,921,
Apr 2000,808,93,1,0,902,
May 2000,845,87,4,0,936,
Jun 2000,886,85,4,0,975,
Jul 2000,826,88,4,0,918,
Aug 2000,853,86,2,0,941,
Sep 2000,802,96,2,0,900,
Oct 2000,790,94,2,0,886,
Nov 2000,807,97,2,0,906,
Dec 2000,814,87,2,0,903,
Jan 2001,867,78,2,0,947,
Feb 2001,909,82,2,0,993,
Mar 2001,911,77,2,0,990,
Apr 2001,841,85,2,0,928,
May 2001,814,87,2,0,903,
Jun 2001,835,78,2,0,915,
Jul 2001,773,71,2,0,846,
Aug 2001,698,59,1,0,758,
Sep 2001,715,70,0,0,785,
Oct 2001,697,70,0,0,767,
Nov 2001,704,63,0,0,767,
Dec 2001,667,73,0,0,740,
Jan 2002,616,72,0,0,688,
Feb 2002,640,72,0,0,712,
Mar 2002,589,70,0,0,659,
Apr 2002,573,57,0,0,630,
May 2002,567,64,0,0,631,
Jun 2002,564,63,0,0,627,
Jul 2002,531,66,0,0,597,
Aug 2002,527,60,0,0,587,
Sep 2002,553,55,1,0,609,
Oct 2002,557,52,2,0,611,
Nov 2002,562,48,1,0,611,
Dec 2002,566,58,3,0,627,
Jan 2003,541,50,1,0,592,
Feb 2003,580,54,0,0,634,
Mar 2003,604,47,12,0,663,
Apr 2003,616,52,4,0,672,
May 2003,643,55,1,0,699,
Jun 2003,676,72,0,0,748,
Jul 2003,706,74,0,0,780,
Aug 2003,687,69,0,0,756,
Sep 2003,681,71,0,0,752,
Oct 2003,695,76,1,0,772,
Nov 2003,716,71,1,0,788,
Dec 2003,717,81,1,0,799,
Jan 2004,707,75,2,0,784,
Feb 2004,730,77,2,0,809,
Mar 2004,762,78,1,0,841,
Apr 2004,771,75,0,0,846,
May 2004,798,69,3,0,870,
Jun 2004,736,81,3,0,820,
Jul 2004,742,83,3,0,828,
Aug 2004,735,102,3,0,840,
Sep 2004,714,101,3,0,818,
Oct 2004,720,102,3,0,825,
Nov 2004,745,130,0,0,875,
Dec 2004,705,142,0,0,847,
Jan 2005,740,152,0,0,892,
Feb 2005,737,163,0,0,900,
Mar 2005,727,174,0,0,901,
Apr 2005,666,189,0,0,855,
May 2005,718,156,0,0,874,
Jun 2005,720,142,5,0,867,
Jul 2005,682,124,3,0,809,
Aug 2005,637,120,3,0,760,
Sep 2005,647,98,3,0,748,
Oct 2005,643,115,2,0,760,
Nov 2005,613,119,0,0,732,
Dec 2005,563,114,0,0,677,
Jan 2006,517,93,0,0,610,
Feb 2006,519,96,0,0,615,
Mar 2006,537,92,0,0,629,
Apr 2006,526,74,0,0,600,
May 2006,492,87,0,0,579,
Jun 2006,474,68,0,0,542,
Jul 2006,467,77,0,0,544,
Aug 2006,482,65,0,0,547,
Sep 2006,483,62,0,0,545,
Oct 2006,483,75,0,0,558,
Nov 2006,477,86,0,0,563,
Dec 2006,447,77,0,0,524,
Jan 2007,436,70,0,0,506,
Feb 2007,434,78,0,0,512,
Mar 2007,421,76,0,0,497,
Apr 2007,391,77,0,0,468,
May 2007,392,74,0,0,466,
Jun 2007,400,88,0,0,488,
Jul 2007,418,75,0,0,493,
Aug 2007,419,83,0,0,502,
Sep 2007,410,88,0,0,498,
Oct 2007,401,82,0,0,483,
Nov 2007,406,87,0,0,493,
Dec 2007,422,88,0,0,510,
Jan 2008,463,94,0,0,557,
Feb 2008,498,127,0,0,625,
Mar 2008,613,114,0,0,727,
Apr 2008,590,105,0,0,695,
May 2008,587,96,0,0,683,
Jun 2008,586,95,0,0,681,
Jul 2008,571,111,0,0,682,
Aug 2008,609,130,0,0,739,
Sep 2008,660,130,0,0,790,
Oct 2008,662,130,0,0,792,
Nov 2008,688,113,0,0,801,
Dec 2008,707,96,0,0,803,
Jan 2009,754,100,0,0,854,
Feb 2009,753,113,0,0,866,
Mar 2009,731,115,0,0,846,
Apr 2009,697,112,0,0,809,
May 2009,667,91,0,0,758,
Jun 2009,652,96,0,0,748,
Jul 2009,641,121,0,0,762,
Aug 2009,463,102,0,0,565,
Sep 2009,410,92,0,0,502,
Oct 2009,403,82,0,0,485,
Nov 2009,419,85,0,0,504,
Dec 2009,398,94,0,0,492,
Jan 2010,374,73,2,0,449,
Feb 2010,384,77,2,0,463,
Mar 2010,397,73,2,0,472,
Apr 2010,426,76,2,0,504,
May 2010,436,78,2,0,516,
Jun 2010,362,76,2,0,440,
Jul 2010,347,72,2,0,421,
Aug 2010,347,68,2,0,417,
Sep 2010,363,84,2,0,449,
Oct 2010,366,85,0,0,451,
Nov 2010,422,78,0,0,500,
Dec 2010,407,93,0,0,500,
