Montréal — Historical Under Construction Inventory by Dwelling Type  
January 1998 to March 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Jan 1998,889,202,373,"1,496","2,960",
Feb 1998,875,192,321,"1,499","2,887",
Mar 1998,"1,170",260,362,"1,608","3,400",
Apr 1998,"1,746",358,501,"1,975","4,580",
May 1998,"2,480",442,573,"2,185","5,680",
Jun 1998,"2,416",438,621,"2,155","5,630",
Jul 1998,"1,442",204,434,"1,194","3,274",
Aug 1998,"1,337",180,379,"1,140","3,036",
Sep 1998,"1,281",174,337,"1,082","2,874",
Oct 1998,"1,290",170,321,"1,118","2,899",
Nov 1998,"1,283",214,288,"1,275","3,060",
Dec 1998,"1,363",248,317,"1,543","3,471",
Jan 1999,"1,301",262,387,"1,678","3,628",
Feb 1999,"1,342",250,463,"1,665","3,720",
Mar 1999,"1,391",280,537,"2,006","4,214",
Apr 1999,"2,155",360,586,"2,352","5,453",
May 1999,"2,663",384,643,"2,532","6,222",
Jun 1999,"2,628",352,551,"2,402","5,933",
Jul 1999,"1,773",228,285,"1,553","3,839",
Aug 1999,"1,582",196,307,"1,543","3,628",
Sep 1999,"1,508",178,280,"1,739","3,705",
Oct 1999,"1,436",194,245,"1,928","3,803",
Nov 1999,"1,480",198,285,"2,091","4,054",
Dec 1999,"1,467",198,355,"2,490","4,510",
Jan 2000,"1,462",202,371,"2,596","4,631",
Feb 2000,"1,494",220,423,"2,693","4,830",
Mar 2000,"1,952",248,472,"2,892","5,564",
Apr 2000,"2,653",284,556,"2,977","6,470",
May 2000,"3,093",317,697,"3,081","7,188",
Jun 2000,"2,911",331,616,"3,211","7,069",
Jul 2000,"2,071",255,439,"2,703","5,468",
Aug 2000,"1,908",203,392,"2,145","4,648",
Sep 2000,"1,714",185,404,"2,702","5,005",
Oct 2000,"1,635",197,361,"2,955","5,148",
Nov 2000,"1,874",223,357,"3,264","5,718",
Dec 2000,"1,887",235,376,"3,385","5,883",
Jan 2001,"1,898",251,372,"3,374","5,895",
Feb 2001,"2,025",263,319,"3,602","6,209",
Mar 2001,"2,355",293,418,"3,767","6,833",
Apr 2001,"3,248",386,502,"4,066","8,202",
May 2001,"3,483",402,575,"4,085","8,545",
Jun 2001,"2,996",350,501,"4,215","8,062",
Jul 2001,"2,119",232,417,"3,374","6,142",
Aug 2001,"2,034",212,322,"3,301","5,869",
Sep 2001,"1,967",168,317,"2,951","5,403",
Oct 2001,"1,948",193,318,"3,148","5,607",
Nov 2001,"1,896",212,360,"2,907","5,375",
Dec 2001,"2,104",219,339,"3,082","5,744",
Jan 2002,"2,055",223,318,"3,466","6,062",
Feb 2002,"2,381",247,334,"3,805","6,767",
Mar 2002,"3,201",287,435,"3,872","7,795",
Apr 2002,"4,304",336,540,"4,383","9,563",
