Regina — Historical Under Construction Inventory by Dwelling Type  
January 1990 to March 2024 Homeowner
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,129,8,0,0,137,
Feb 1990,127,4,0,0,131,
Mar 1990,126,4,0,0,130,
Apr 1990,146,4,0,0,150,
May 1990,148,4,0,0,152,
Jun 1990,177,4,0,0,181,
Jul 1990,159,0,0,0,159,
Aug 1990,138,0,0,0,138,
Sep 1990,132,0,0,0,132,
Oct 1990,121,0,0,0,121,
Nov 1990,97,0,0,0,97,
Dec 1990,82,0,0,0,82,
Jan 1991,72,0,0,0,72,
Feb 1991,57,0,0,0,57,
Mar 1991,57,0,0,0,57,
Apr 1991,69,0,0,0,69,
May 1991,72,0,0,0,72,
Jun 1991,80,0,0,0,80,
Jul 1991,87,0,0,0,87,
Aug 1991,79,2,0,0,81,
Sep 1991,76,2,0,0,78,
Oct 1991,69,2,0,0,71,
Nov 1991,74,2,0,0,76,
Dec 1991,73,2,0,0,75,
Jan 1992,82,2,0,0,84,
Feb 1992,99,2,0,0,101,
Mar 1992,139,2,0,0,141,
Apr 1992,180,0,0,0,180,
May 1992,214,0,0,0,214,
Jun 1992,263,0,0,0,263,
Jul 1992,269,0,0,0,269,
Aug 1992,270,0,0,0,270,
Sep 1992,279,0,0,0,279,
Oct 1992,226,0,0,0,226,
Nov 1992,174,0,0,0,174,
Dec 1992,171,0,0,0,171,
Jan 1993,160,0,0,0,160,
Feb 1993,175,0,0,0,175,
Mar 1993,170,0,0,0,170,
Apr 1993,190,0,0,0,190,
May 1993,207,0,0,0,207,
Jun 1993,232,0,0,0,232,
Jul 1993,243,0,0,0,243,
Aug 1993,189,0,0,0,189,
Sep 1993,135,0,0,0,135,
Oct 1993,113,0,0,0,113,
Nov 1993,123,0,0,0,123,
Dec 1993,123,0,0,0,123,
Jan 1994,107,0,0,0,107,
Feb 1994,117,0,0,0,117,
Mar 1994,131,0,0,0,131,
Apr 1994,151,0,0,0,151,
May 1994,168,0,0,0,168,
Jun 1994,149,0,0,0,149,
Jul 1994,157,0,0,0,157,
Aug 1994,152,0,0,0,152,
Sep 1994,140,0,0,0,140,
Oct 1994,142,0,0,0,142,
Nov 1994,147,0,0,0,147,
Dec 1994,130,0,0,0,130,
Jan 1995,106,0,0,0,106,
Feb 1995,105,0,0,0,105,
Mar 1995,103,0,0,0,103,
Apr 1995,127,0,0,0,127,
May 1995,121,0,0,0,121,
Jun 1995,134,0,0,0,134,
Jul 1995,118,0,0,0,118,
Aug 1995,131,0,0,0,131,
Sep 1995,130,0,0,0,130,
Oct 1995,133,0,0,0,133,
Nov 1995,125,0,0,0,125,
Dec 1995,114,0,0,0,114,
Jan 1996,105,0,0,0,105,
Feb 1996,86,0,0,0,86,
Mar 1996,92,0,0,0,92,
Apr 1996,102,0,0,0,102,
May 1996,140,0,0,0,140,
Jun 1996,159,0,0,0,159,
Jul 1996,175,0,0,0,175,
Aug 1996,181,0,0,0,181,
Sep 1996,173,0,0,0,173,
Oct 1996,152,0,0,0,152,
Nov 1996,139,0,0,0,139,
Dec 1996,136,0,0,0,136,
Jan 1997,131,0,0,0,131,
Feb 1997,137,0,0,0,137,
Mar 1997,143,0,0,0,143,
Apr 1997,153,0,0,0,153,
May 1997,183,0,0,0,183,
Jun 1997,174,2,0,0,176,
Jul 1997,183,2,0,0,185,
Aug 1997,177,2,0,0,179,
Sep 1997,184,2,0,0,186,
Oct 1997,179,2,0,0,181,
Nov 1997,160,2,0,0,162,
Dec 1997,143,2,0,0,145,
Jan 1998,127,2,0,0,129,
Feb 1998,119,0,0,0,119,
Mar 1998,122,0,0,0,122,
Apr 1998,134,0,0,0,134,
May 1998,160,0,0,0,160,
Jun 1998,164,0,0,0,164,
Jul 1998,169,0,0,0,169,
Aug 1998,194,0,0,0,194,
Sep 1998,196,0,0,0,196,
Oct 1998,182,0,0,0,182,
Nov 1998,158,0,0,0,158,
Dec 1998,149,0,0,0,149,
Jan 1999,152,0,0,0,152,
Feb 1999,128,0,0,0,128,
Mar 1999,136,0,0,0,136,
Apr 1999,151,0,0,0,151,
May 1999,168,2,0,0,170,
Jun 1999,196,2,0,0,198,
Jul 1999,193,2,0,0,195,
Aug 1999,197,2,5,0,204,
Sep 1999,189,6,5,0,200,
Oct 1999,174,6,5,0,185,
Nov 1999,173,4,5,0,182,
Dec 1999,187,4,5,0,196,
Jan 2000,173,0,5,0,178,
Feb 2000,164,0,5,0,169,
Mar 2000,165,0,5,0,170,
Apr 2000,194,0,5,0,199,
May 2000,185,0,5,0,190,
Jun 2000,211,0,5,0,216,
