Saskatoon — Historical Under Construction Inventory by Dwelling Type  
January 1990 to March 2024 Rental
,Single,Semi-Detached,Row,Apartment,All,
Jan 1990,0,0,0,8,8,
Feb 1990,0,0,0,8,8,
Mar 1990,0,0,0,8,8,
Apr 1990,0,0,0,8,8,
May 1990,0,0,0,8,8,
Jun 1990,0,0,0,8,8,
Jul 1990,0,0,0,8,8,
Aug 1990,0,0,0,8,8,
Sep 1990,0,0,0,8,8,
Oct 1990,0,0,0,8,8,
Nov 1990,0,0,0,8,8,
Dec 1990,0,0,0,8,8,
Jan 1991,0,0,0,8,8,
Feb 1991,0,0,0,8,8,
Mar 1991,0,0,0,8,8,
Apr 1991,0,0,0,8,8,
May 1991,0,0,0,8,8,
Jun 1991,0,0,0,8,8,
Jul 1991,0,0,0,8,8,
Aug 1991,0,0,0,8,8,
Sep 1991,0,0,0,8,8,
Oct 1991,0,0,0,0,0,
Nov 1991,0,0,0,0,0,
Dec 1991,0,0,0,0,0,
Jan 1992,0,0,0,0,0,
Feb 1992,0,0,0,0,0,
Mar 1992,0,0,0,0,0,
Apr 1992,0,0,0,0,0,
May 1992,0,0,0,0,0,
Jun 1992,0,0,0,0,0,
Jul 1992,0,0,0,0,0,
Aug 1992,0,0,0,0,0,
Sep 1992,0,0,18,0,18,
Oct 1992,0,0,18,0,18,
Nov 1992,0,0,18,0,18,
Dec 1992,0,0,18,0,18,
Jan 1993,0,0,18,0,18,
Feb 1993,0,0,15,81,96,
Mar 1993,0,0,9,81,90,
Apr 1993,0,0,4,81,85,
May 1993,0,0,4,81,85,
Jun 1993,0,0,4,81,85,
Jul 1993,0,0,4,81,85,
Aug 1993,0,0,4,81,85,
Sep 1993,0,0,4,81,85,
Oct 1993,0,0,4,81,85,
Nov 1993,0,0,4,0,4,
Dec 1993,0,0,4,0,4,
Jan 1994,0,0,0,0,0,
Feb 1994,0,0,0,0,0,
Mar 1994,0,0,4,0,4,
Apr 1994,0,0,0,24,24,
May 1994,0,0,0,24,24,
Jun 1994,0,2,0,24,26,
Jul 1994,0,2,0,24,26,
Aug 1994,0,2,0,36,38,
Sep 1994,0,0,0,12,12,
Oct 1994,0,0,6,12,18,
Nov 1994,0,0,0,12,12,
Dec 1994,0,0,0,12,12,
Jan 1995,0,0,0,12,12,
Feb 1995,0,0,0,12,12,
Mar 1995,0,0,0,0,0,
Apr 1995,0,0,0,0,0,
May 1995,0,0,0,0,0,
Jun 1995,0,0,0,0,0,
Jul 1995,0,0,6,0,6,
Aug 1995,0,0,6,21,27,
Sep 1995,0,0,6,21,27,
Oct 1995,0,0,6,21,27,
Nov 1995,0,0,6,21,27,
Dec 1995,0,0,6,21,27,
Jan 1996,0,0,6,21,27,
Feb 1996,0,0,6,0,6,
Mar 1996,0,4,0,0,4,
Apr 1996,0,4,0,0,4,
May 1996,0,4,4,0,8,
Jun 1996,0,2,4,0,6,
Jul 1996,0,2,4,0,6,
Aug 1996,0,2,4,0,6,
Sep 1996,0,2,4,0,6,
Oct 1996,0,2,4,0,6,
Nov 1996,0,2,4,62,68,
Dec 1996,0,2,4,62,68,
Jan 1997,0,4,4,62,70,
Feb 1997,0,4,4,62,70,
Mar 1997,0,2,4,62,68,
Apr 1997,0,4,4,62,70,
May 1997,0,4,4,62,70,
