cma_code,year,Age_of_Primary_Household_Maintainer__15___24,Age_of_Primary_Household_Maintainer__25___34,Age_of_Primary_Household_Maintainer__35___44,Age_of_Primary_Household_Maintainer__45___54,Age_of_Primary_Household_Maintainer__55___64,Age_of_Primary_Household_Maintainer__Total_65_,Age_of_Primary_Household_Maintainer__Total,Mobility_of_Primary_Household_Maintainer__15___24,Mobility_of_Primary_Household_Maintainer__25___34,Mobility_of_Primary_Household_Maintainer__35___44,Mobility_of_Primary_Household_Maintainer__45___54,Mobility_of_Primary_Household_Maintainer__55___64,Mobility_of_Primary_Household_Maintainer__Total_65_,Mobility_of_Primary_Household_Maintainer__Total,Household_Type__Couple_With_Children,Household_Type__Couple_Without_Children,Household_Type__Total_Lone__Parent_Households,Household_Type__Multiple__Family,Household_Type__Total_One__Person_Households,Household_Type__Other_Non_Family,Household_Type__Total,Household_Size__One_Person_Household,Household_Size__Two_Person_Household,Household_Size__Three_Person_Household,Household_Size__Four_Person_Household,Household_Size__Five_Or_More_Person_Household,Household_Size__Total,Immigrant_Households__Non_Immigrant,Immigrant_Households__Non_Permanent_Resident,Immigrant_Households__Immigrant,Immigrant_Households__Recent_Immigrant,Immigrant_Households__Total,Households_with_Seniors__Household_Has_at_Least_One_Senior__65_or_Older_,Households_with_Seniors__Other_Household_Type,Households_with_Seniors__Total,Households_with_Children_Under_18__Household_Has_at_Least_One_Child_Less_Than_18_Years_Old,Households_with_Children_Under_18__Other_Household_Type,Households_with_Children_Under_18__Total,Activity_Limitations__Household_Has_at_Least_One_Person_With_Activity_Limitations,Activity_Limitations__Other_Household_Type,Activity_Limitations__Total,Aboriginal_Households__Aboriginal_Households,Aboriginal_Households__Non_Aboriginal_Households,Aboriginal_Households__Total,Shelter_Costs__Less_Than__500_Per_Month,Shelter_Costs___500_to__999_Per_Month,Shelter_Costs___1_000_to__1_499_Per_Month,Shelter_Costs___1_500_to__1_999_Per_Month,Shelter_Costs___2_000_And_Over_Per_Month,Shelter_Costs__Total_Non_Farm__Non_Band_Households,Mortgages__With_a_Mortgage,Mortgages__Without_a_Mortgage,Mortgages__Total_Private_Households_With_Mortgage_Status_Known,Household_Income__Less_Than__20_000,Household_Income___20_000_to__39_999,Household_Income___40_000_to__59_999,Household_Income___60_000_to__79_999,Household_Income___80_000_to__99_999,Household_Income___100_000_And_Over,Household_Income__Total,Condominiums__Part_of_a_Condominium,Condominiums__Not_Part_of_a_Condominium,Condominiums__Total,Housing_Suitability__Suitable,Housing_Suitability__Not_Suitable__Crowded_,Housing_Suitability__Total,Value_of_Owner_occupied_Dwellings______Single_Detached,Value_of_Owner_occupied_Dwellings______Semi_Detached,Value_of_Owner_occupied_Dwellings______Row,Value_of_Owner_occupied_Dwellings______Duplex,Value_of_Owner_occupied_Dwellings______Low_Rise_Apt_,Value_of_Owner_occupied_Dwellings______High_Rise_Apt_,Value_of_Owner_occupied_Dwellings______Other,Value_of_Owner_occupied_Dwellings______Total,Period_of_Construction_and_Condition_of_Dwelling__Needs_Only_Regular_Maintenance,Period_of_Construction_and_Condition_of_Dwelling__Needs_Minor_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Needs_Major_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Total
0110/3/Abbotsford - Mission,2006,2160,8135,12405,12345,8765,12145,55955,1990,6865,7215,5110,3265,3420,27860,18800,14415,5455,2670,12750,1860,55955,12750,17960,8085,8750,8405,55955,54690,190,12115,1475,55955,14370,41580,55955,20360,35590,55955,22295,33655,55955,2660,53290,55955,13605,16495,11115,8540,5500,55260,26675,13835,40510,7955,11875,10915,9005,6210,9995,55955,9640,31475,41110,52115,3835,55955,419629,323824,245993,429165,153266,201810.0,165716,362875,40265,12695,2995,55955
0110/3/Abbotsford - Mission,2011,1960,8535,11460,13545,10720,13100,59315,1810,6610,5760,4870,3345,3090,25485,19080,15275,5790,3475,13565,2135,59315,13565,18680,8925,9175,8975,59315,43250,510,15560,1160,59315,15810,43510,59315,20970,38345,59315,24490,34830,59315,3260,56055,59315,12185,16540,10235,10105,9150,58210,28620,15145,43760,7070,10875,10035,8570,7270,15495,59315,14070,45250,59315,55055,4260,59315,478828,394995,302743,476936,193000,245393.0,254144,413134,42865,13270,3180,59315
0110/3/Abbotsford - Mission,2016,1790,8600,10995,13170,12525,15545,62635,1665,6440,5770,4465,3685,3800,25830,19390,16165,6210,4020,14505,2335,62635,14510,19955,9285,9235,9645,62635,44320,575,17735,1295,62635,19280,43345,62635,20740,41890,62635,37280,25355,62635,4420,58210,62635,10005,18375,11060,10110,11920,61475,29325,14420,43750,5495,9850,9685,9045,7780,20780,62635,13450,49185,62635,59070,3560,62635,618454,447621,324007,630983,193210,261456.0,177733,517976,45900,13730,3005,62635
0110/3/Abbotsford - Mission,2021,1710,8905,12490,12755,13350,18410,67610,1625,7080,7040,4990,4110,4270,29115,20625,16730,6550,4660,16115,2935,67610,16115,20855,9675,9985,10985,67610,45730,1460,20420,1875,67610,23315,44295,67610,21650,45965,67610,41005,26610,67610,4930,62680,67610,8210,15470,12245,9690,21125,66735,30850,16040,46890,2430,8685,9260,8730,8060,30450,67610,14980,52635,67610,62755,4860,67610,1079000,687000,576000,1046000,372000,407000.0,354000,882000,51150,13355,3110,67610
0120/3/Barrie,2006,1775,10125,16330,14475,9270,11890,63860,1715,8490,8910,5560,3140,3345,31160,24330,16345,6800,1305,12525,2560,63860,12520,20745,11200,12430,6970,63860,52565,245,11055,475,63860,13725,50135,63860,24355,39505,63860,22020,41840,63860,1820,62040,63860,9615,15740,19455,14080,4780,63670,37160,14180,51340,6340,10675,11375,10625,9225,15615,63860,2750,48770,51520,61225,2635,63860,278691,200086,179599,275582,201959,262752.0,113775,266167,46130,14785,2945,63860
0120/3/Barrie,2011,1855,9465,14170,17995,11245,13765,68495,1705,7360,6350,5780,3135,3140,27460,24335,17695,8290,1460,13920,2790,68495,13925,22495,12200,13145,6735,68495,57735,130,10635,590,68495,15740,52755,68495,24750,43750,68495,25465,43030,68495,2360,66135,68495,7675,17225,17650,16340,9295,68185,38115,15965,54080,5755,10825,12040,10390,8615,20865,68495,4435,64065,68495,65800,2695,68495,319649,220206,218172,283728,216117,261200.0,200034,304575,48325,17070,3100,68495
0120/3/Barrie,2016,1435,9925,13710,17145,14340,15970,72535,1370,7885,6800,5345,3690,3705,28795,24575,18565,9135,1965,15325,2970,72535,15325,23775,13145,12890,7400,72535,59565,220,12750,465,72535,18760,53770,72535,24120,48415,72535,41445,31090,72535,3490,69045,72535,4970,16675,17355,18700,14595,72290,39145,15830,54970,4560,10080,11045,10205,9160,27490,72535,5450,67085,72535,70110,2420,72535,441506,309324,276557,425555,280769,335514.0,797926,419554,49450,19565,3520,72535
0120/3/Barrie,2021,1540,10400,14485,15575,17170,19360,78540,1495,8385,7575,5375,4895,4805,32530,25430,20085,9760,2440,17335,3490,78540,17335,25395,13880,13515,8420,78540,61435,850,16255,1200,78540,23125,55415,78540,24465,54075,78540,47945,30595,78540,3650,74890,78540,4420,16715,12980,16880,27305,78305,39125,18285,57410,2510,8250,10025,10180,9825,37760,78540,6995,71545,78540,75490,3050,78540,790000,583000,543500,715000,464000,519000.0,540000,746000,55775,19120,3645,78540
0122/3/Belleville - Quinte West,2006,1540,4655,7325,7865,6180,9645,37210,1495,3720,3935,2705,1715,2170,15740,11025,11155,3885,395,9645,1105,37210,9650,13895,5880,5145,2640,37210,32940,75,4185,180,37210,10530,26675,37210,11130,26075,37210,15200,22010,37210,1440,35765,37210,9410,16190,8560,2215,735,37110,14585,10570,25155,5445,8795,7595,6110,3865,5400,37210,1125,24130,25250,35900,1310,37210,186308,161879,166497,193739,171960,187506.0,167125,184625,24240,10180,2785,37210
0122/3/Belleville - Quinte West,2011,1370,4950,5785,8495,7320,10525,38445,1275,3820,2705,2820,1870,1845,14340,10245,11660,4195,455,10530,1355,38445,10530,14550,5950,4925,2490,38445,34905,100,3440,115,38445,11435,27015,38445,10150,28300,38445,16935,21510,38445,2160,36290,38445,7695,15870,9540,3690,1440,38245,15280,10940,26220,4510,8245,7780,5955,4190,7770,38445,1710,36735,38445,36940,1505,38445,228516,222885,206432,204340,190207,265561.0,98601,224605,26155,9850,2440,38445
