"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"35559",2006-07-01,"2006","65 - 74",21980,"Census","65 and over"
"35559",2006-07-01,"2006","75 - 84",15475,"Census","65 and over"
"35559",2006-07-01,"2006","85+",4575,"Census","65 and over"
"35559",2006-07-01,"2006","Total 65+",42035,"Census","65 and over"
"35559",2006-07-01,"2006","Total",323340,"Census","65 and over"
"35559",2011-07-01,"2011","65 - 74",25530,"Census","65 and over"
"35559",2011-07-01,"2011","75 - 84",15775,"Census","65 and over"
"35559",2011-07-01,"2011","85+",6285,"Census","65 and over"
"35559",2011-07-01,"2011","Total 65+",47590,"Census","65 and over"
"35559",2011-07-01,"2011","Total",319250,"Census","65 and over"
"35559",2016-07-01,"2016","65 - 74",31665,"Census","65 and over"
"35559",2016-07-01,"2016","75 - 84",16315,"Census","65 and over"
"35559",2016-07-01,"2016","85+",5595,"Census","65 and over"
"35559",2016-07-01,"2016","Total 65+",53575,"Census","65 and over"
"35559",2016-07-01,"2016","Total",325005,"Census","65 and over"
"35559",2021-07-01,"2021","65 - 74",46325,"Census","65 and over"
"35559",2021-07-01,"2021","75 - 84",23135,"Census","65 and over"
"35559",2021-07-01,"2021","85+",7785,"Census","65 and over"
"35559",2021-07-01,"2021","Total 65+",77255,"Census","65 and over"
"35559",2021-07-01,"2021","Total",415505,"Census","65 and over"
