"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"47725",2006-07-01,"2006","65 - 74",8870,"Census","65 and over"
"47725",2006-07-01,"2006","75 - 84",7300,"Census","65 and over"
"47725",2006-07-01,"2006","85+",2770,"Census","65 and over"
"47725",2006-07-01,"2006","Total 65+",18940,"Census","65 and over"
"47725",2006-07-01,"2006","Total",95275,"Census","65 and over"
"47725",2011-07-01,"2011","65 - 74",9560,"Census","65 and over"
"47725",2011-07-01,"2011","75 - 84",7355,"Census","65 and over"
"47725",2011-07-01,"2011","85+",2985,"Census","65 and over"
"47725",2011-07-01,"2011","Total 65+",19900,"Census","65 and over"
"47725",2011-07-01,"2011","Total",104285,"Census","65 and over"
"47725",2016-07-01,"2016","65 - 74",12345,"Census","65 and over"
"47725",2016-07-01,"2016","75 - 84",7495,"Census","65 and over"
"47725",2016-07-01,"2016","85+",3135,"Census","65 and over"
"47725",2016-07-01,"2016","Total 65+",22980,"Census","65 and over"
"47725",2016-07-01,"2016","Total",115280,"Census","65 and over"
"47725",2021-07-01,"2021","65 - 74",16310,"Census","65 and over"
"47725",2021-07-01,"2021","75 - 84",8510,"Census","65 and over"
"47725",2021-07-01,"2021","85+",3685,"Census","65 and over"
"47725",2021-07-01,"2021","Total 65+",28505,"Census","65 and over"
"47725",2021-07-01,"2021","Total",125105,"Census","65 and over"
