"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"35530",2006-07-01,"2006","0 - 14",11885,"Census","All Households"
"35530",2006-07-01,"2006","15 - 24",8965,"Census","All Households"
"35530",2006-07-01,"2006","25 - 34",6460,"Census","All Households"
"35530",2006-07-01,"2006","35 - 44",9815,"Census","All Households"
"35530",2006-07-01,"2006","45 - 54",12280,"Census","All Households"
"35530",2006-07-01,"2006","55 - 64",10620,"Census","All Households"
"35530",2006-07-01,"2006","Total 65+",14535,"Census","All Households"
"35530",2006-07-01,"2006","Total",74565,"Census","All Households"
"35530",2011-07-01,"2011","0 - 14",10180,"Census","All Households"
"35530",2011-07-01,"2011","15 - 24",8455,"Census","All Households"
"35530",2011-07-01,"2011","25 - 34",6525,"Census","All Households"
"35530",2011-07-01,"2011","35 - 44",7545,"Census","All Households"
"35530",2011-07-01,"2011","45 - 54",12165,"Census","All Households"
"35530",2011-07-01,"2011","55 - 64",12330,"Census","All Households"
"35530",2011-07-01,"2011","Total 65+",16010,"Census","All Households"
"35530",2011-07-01,"2011","Total",73215,"Census","All Households"
"35530",2016-07-01,"2016","0 - 14",9865,"Census","All Households"
"35530",2016-07-01,"2016","15 - 24",7740,"Census","All Households"
"35530",2016-07-01,"2016","25 - 34",6890,"Census","All Households"
"35530",2016-07-01,"2016","35 - 44",6985,"Census","All Households"
"35530",2016-07-01,"2016","45 - 54",10505,"Census","All Households"
"35530",2016-07-01,"2016","55 - 64",13470,"Census","All Households"
"35530",2016-07-01,"2016","Total 65+",17925,"Census","All Households"
"35530",2016-07-01,"2016","Total",73375,"Census","All Households"
"35530",2021-07-01,"2021","0 - 14",10530,"Census","All Households"
"35530",2021-07-01,"2021","15 - 24",6950,"Census","All Households"
"35530",2021-07-01,"2021","25 - 34",8040,"Census","All Households"
"35530",2021-07-01,"2021","35 - 44",7905,"Census","All Households"
"35530",2021-07-01,"2021","45 - 54",8585,"Census","All Households"
"35530",2021-07-01,"2021","55 - 64",13965,"Census","All Households"
"35530",2021-07-01,"2021","Total 65+",21260,"Census","All Households"
"35530",2021-07-01,"2021","Total",77230,"Census","All Households"
