"GeoUID","Date","DateString","Bedroom Type","Value","Quality","Survey","Series"
"35515",2004-10-01,"2004 October","Studio",NA,NA,"Rms","Availability Rate"
"35515",2004-10-01,"2004 October","1 Bedroom",NA,NA,"Rms","Availability Rate"
"35515",2004-10-01,"2004 October","2 Bedroom",NA,NA,"Rms","Availability Rate"
"35515",2004-10-01,"2004 October","3 Bedroom +",NA,NA,"Rms","Availability Rate"
"35515",2004-10-01,"2004 October","Total",NA,NA,"Rms","Availability Rate"
"35515",2005-10-01,"2005 October","Studio",0,"Fair (Use with Caution)","Rms","Availability Rate"
"35515",2005-10-01,"2005 October","1 Bedroom",10.3,"Fair (Use with Caution)","Rms","Availability Rate"
"35515",2005-10-01,"2005 October","2 Bedroom",4.7,"Very good","Rms","Availability Rate"
"35515",2005-10-01,"2005 October","3 Bedroom +",0,"Good","Rms","Availability Rate"
"35515",2005-10-01,"2005 October","Total",5.8,"Very good","Rms","Availability Rate"
"35515",2006-10-01,"2006 October","Studio",NA,NA,"Rms","Availability Rate"
"35515",2006-10-01,"2006 October","1 Bedroom",NA,NA,"Rms","Availability Rate"
"35515",2006-10-01,"2006 October","2 Bedroom",4.2,"Fair (Use with Caution)","Rms","Availability Rate"
"35515",2006-10-01,"2006 October","3 Bedroom +",NA,NA,"Rms","Availability Rate"
"35515",2006-10-01,"2006 October","Total",5.2,"Good","Rms","Availability Rate"
"35515",2007-10-01,"2007 October","Studio",0,"Fair (Use with Caution)","Rms","Availability Rate"
"35515",2007-10-01,"2007 October","1 Bedroom",2.9,"Good","Rms","Availability Rate"
"35515",2007-10-01,"2007 October","2 Bedroom",1,"Excellent","Rms","Availability Rate"
"35515",2007-10-01,"2007 October","3 Bedroom +",0,"Fair (Use with Caution)","Rms","Availability Rate"
"35515",2007-10-01,"2007 October","Total",1.4,"Excellent","Rms","Availability Rate"
"35515",2008-10-01,"2008 October","Studio",NA,NA,"Rms","Availability Rate"
"35515",2008-10-01,"2008 October","1 Bedroom",0.4,"Excellent","Rms","Availability Rate"
