"GeoUID","Date","DateString","Bedroom Type","Value","Quality","Survey","Series"
"24462",1998-10-01,"1998 October","Studio",365,"Excellent","Rms","Average Rent"
"24462",1998-10-01,"1998 October","1 Bedroom",438,"Excellent","Rms","Average Rent"
"24462",1998-10-01,"1998 October","2 Bedroom",499,"Excellent","Rms","Average Rent"
"24462",1998-10-01,"1998 October","3 Bedroom +",597,"Excellent","Rms","Average Rent"
"24462",1998-10-01,"1998 October","Total",480,"Excellent","Rms","Average Rent"
"24462",1999-10-01,"1999 October","Studio",372,"Excellent","Rms","Average Rent"
"24462",1999-10-01,"1999 October","1 Bedroom",452,"Excellent","Rms","Average Rent"
"24462",1999-10-01,"1999 October","2 Bedroom",506,"Excellent","Rms","Average Rent"
"24462",1999-10-01,"1999 October","3 Bedroom +",614,"Excellent","Rms","Average Rent"
"24462",1999-10-01,"1999 October","Total",492,"Excellent","Rms","Average Rent"
"24462",2000-10-01,"2000 October","Studio",380,"Excellent","Rms","Average Rent"
"24462",2000-10-01,"2000 October","1 Bedroom",458,"Excellent","Rms","Average Rent"
"24462",2000-10-01,"2000 October","2 Bedroom",509,"Excellent","Rms","Average Rent"
"24462",2000-10-01,"2000 October","3 Bedroom +",631,"Excellent","Rms","Average Rent"
"24462",2000-10-01,"2000 October","Total",497,"Excellent","Rms","Average Rent"
"24462",2001-10-01,"2001 October","Studio",404,"Excellent","Rms","Average Rent"
"24462",2001-10-01,"2001 October","1 Bedroom",476,"Excellent","Rms","Average Rent"
"24462",2001-10-01,"2001 October","2 Bedroom",529,"Excellent","Rms","Average Rent"
"24462",2001-10-01,"2001 October","3 Bedroom +",652,"Excellent","Rms","Average Rent"
"24462",2001-10-01,"2001 October","Total",517,"Excellent","Rms","Average Rent"
"24462",2002-10-01,"2002 October","Studio",423,"Excellent","Rms","Average Rent"
"24462",2002-10-01,"2002 October","1 Bedroom",505,"Excellent","Rms","Average Rent"
"24462",2002-10-01,"2002 October","2 Bedroom",552,"Excellent","Rms","Average Rent"
"24462",2002-10-01,"2002 October","3 Bedroom +",688,"Excellent","Rms","Average Rent"
"24462",2002-10-01,"2002 October","Total",545,"Excellent","Rms","Average Rent"
"24462",2003-10-01,"2003 October","Studio",441,"Excellent","Rms","Average Rent"
"24462",2003-10-01,"2003 October","1 Bedroom",528,"Excellent","Rms","Average Rent"
"24462",2003-10-01,"2003 October","2 Bedroom",575,"Excellent","Rms","Average Rent"
"24462",2003-10-01,"2003 October","3 Bedroom +",713,"Excellent","Rms","Average Rent"
"24462",2003-10-01,"2003 October","Total",564,"Excellent","Rms","Average Rent"
"24462",2004-10-01,"2004 October","Studio",459,"Excellent","Rms","Average Rent"
"24462",2004-10-01,"2004 October","1 Bedroom",539,"Excellent","Rms","Average Rent"
"24462",2004-10-01,"2004 October","2 Bedroom",594,"Excellent","Rms","Average Rent"
"24462",2004-10-01,"2004 October","3 Bedroom +",729,"Excellent","Rms","Average Rent"
"24462",2004-10-01,"2004 October","Total",581,"Excellent","Rms","Average Rent"
