"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"24462",1998-01-01,"Jan 1998","Single",255,"Scss","Completions"
"24462",1998-01-01,"Jan 1998","Semi-Detached",26,"Scss","Completions"
"24462",1998-01-01,"Jan 1998","Row",31,"Scss","Completions"
"24462",1998-01-01,"Jan 1998","Apartment",80,"Scss","Completions"
"24462",1998-01-01,"Jan 1998","All",392,"Scss","Completions"
"24462",1998-02-01,"Feb 1998","Single",247,"Scss","Completions"
"24462",1998-02-01,"Feb 1998","Semi-Detached",42,"Scss","Completions"
"24462",1998-02-01,"Feb 1998","Row",44,"Scss","Completions"
"24462",1998-02-01,"Feb 1998","Apartment",148,"Scss","Completions"
"24462",1998-02-01,"Feb 1998","All",481,"Scss","Completions"
"24462",1998-03-01,"Mar 1998","Single",157,"Scss","Completions"
"24462",1998-03-01,"Mar 1998","Semi-Detached",18,"Scss","Completions"
"24462",1998-03-01,"Mar 1998","Row",30,"Scss","Completions"
"24462",1998-03-01,"Mar 1998","Apartment",94,"Scss","Completions"
"24462",1998-03-01,"Mar 1998","All",299,"Scss","Completions"
"24462",1998-04-01,"Apr 1998","Single",217,"Scss","Completions"
"24462",1998-04-01,"Apr 1998","Semi-Detached",38,"Scss","Completions"
"24462",1998-04-01,"Apr 1998","Row",20,"Scss","Completions"
"24462",1998-04-01,"Apr 1998","Apartment",154,"Scss","Completions"
"24462",1998-04-01,"Apr 1998","All",429,"Scss","Completions"
"24462",1998-05-01,"May 1998","Single",326,"Scss","Completions"
"24462",1998-05-01,"May 1998","Semi-Detached",46,"Scss","Completions"
"24462",1998-05-01,"May 1998","Row",34,"Scss","Completions"
"24462",1998-05-01,"May 1998","Apartment",88,"Scss","Completions"
"24462",1998-05-01,"May 1998","All",494,"Scss","Completions"
"24462",1998-06-01,"Jun 1998","Single",742,"Scss","Completions"
"24462",1998-06-01,"Jun 1998","Semi-Detached",140,"Scss","Completions"
