"GeoUID","Date","DateString","Structure Size","Value","Quality","Survey","Series"
"47705",2007-07-01,"2007","3-19 Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2007-07-01,"2007","20-49 Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2007-07-01,"2007","50-99 Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2007-07-01,"2007","100+ Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2007-07-01,"2007","Total",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2008-07-01,"2008","3-19 Units",0,"Very good","Srms","Condo Vacancy Rate"
"47705",2008-07-01,"2008","20-49 Units",0,"Excellent","Srms","Condo Vacancy Rate"
"47705",2008-07-01,"2008","50-99 Units",1.3,"Fair (Use with Caution)","Srms","Condo Vacancy Rate"
"47705",2008-07-01,"2008","100+ Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2008-07-01,"2008","Total",0.3,"Excellent","Srms","Condo Vacancy Rate"
"47705",2009-07-01,"2009","3-19 Units",13.3,"Fair (Use with Caution)","Srms","Condo Vacancy Rate"
"47705",2009-07-01,"2009","20-49 Units",3,"Good","Srms","Condo Vacancy Rate"
"47705",2009-07-01,"2009","50-99 Units",4.6,"Excellent","Srms","Condo Vacancy Rate"
"47705",2009-07-01,"2009","100+ Units",1.2,"Excellent","Srms","Condo Vacancy Rate"
"47705",2009-07-01,"2009","Total",3,"Very good","Srms","Condo Vacancy Rate"
"47705",2010-07-01,"2010","3-19 Units",0,"Very good","Srms","Condo Vacancy Rate"
"47705",2010-07-01,"2010","20-49 Units",1.8,"Good","Srms","Condo Vacancy Rate"
"47705",2010-07-01,"2010","50-99 Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2010-07-01,"2010","100+ Units",1.9,"Excellent","Srms","Condo Vacancy Rate"
"47705",2010-07-01,"2010","Total",1.4,"Excellent","Srms","Condo Vacancy Rate"
"47705",2011-07-01,"2011","3-19 Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2011-07-01,"2011","20-49 Units",1.4,"Excellent","Srms","Condo Vacancy Rate"
"47705",2011-07-01,"2011","50-99 Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2011-07-01,"2011","100+ Units",NA,NA,"Srms","Condo Vacancy Rate"
"47705",2011-07-01,"2011","Total",0.6,"Excellent","Srms","Condo Vacancy Rate"
"47705",2012-07-01,"2012","3-19 Units",4.9,"Good","Srms","Condo Vacancy Rate"
"47705",2012-07-01,"2012","20-49 Units",1.5,"Excellent","Srms","Condo Vacancy Rate"
"47705",2012-07-01,"2012","50-99 Units",5.1,"Fair (Use with Caution)","Srms","Condo Vacancy Rate"
"47705",2012-07-01,"2012","100+ Units",0.5,"Excellent","Srms","Condo Vacancy Rate"
"47705",2012-07-01,"2012","Total",1.9,"Excellent","Srms","Condo Vacancy Rate"
"47705",2013-07-01,"2013","3-19 Units",2.2,"Good","Srms","Condo Vacancy Rate"
"47705",2013-07-01,"2013","20-49 Units",1.6,"Good","Srms","Condo Vacancy Rate"
"47705",2013-07-01,"2013","50-99 Units",1.1,"Excellent","Srms","Condo Vacancy Rate"
"47705",2013-07-01,"2013","100+ Units",1.3,"Excellent","Srms","Condo Vacancy Rate"
"47705",2013-07-01,"2013","Total",1.4,"Excellent","Srms","Condo Vacancy Rate"
"47705",2014-07-01,"2014","3-19 Units",1.1,"Excellent","Srms","Condo Vacancy Rate"
"47705",2014-07-01,"2014","20-49 Units",2.1,"Very good","Srms","Condo Vacancy Rate"
"47705",2014-07-01,"2014","50-99 Units",1.2,"Excellent","Srms","Condo Vacancy Rate"
"47705",2014-07-01,"2014","100+ Units",0.7,"Excellent","Srms","Condo Vacancy Rate"
"47705",2014-07-01,"2014","Total",1.2,"Excellent","Srms","Condo Vacancy Rate"
"47705",2015-07-01,"2015","3-19 Units",4.7,"Fair (Use with Caution)","Srms","Condo Vacancy Rate"
"47705",2015-07-01,"2015","20-49 Units",5.3,"Good","Srms","Condo Vacancy Rate"
"47705",2015-07-01,"2015","50-99 Units",4.5,"Good","Srms","Condo Vacancy Rate"
"47705",2015-07-01,"2015","100+ Units",4.1,"Very good","Srms","Condo Vacancy Rate"
