"GeoUID","Date","DateString","Average","Value","Survey","Series"
"59907",2006-07-01,"2006","Single-Detached",277006,"Census","Dwelling value"
"59907",2006-07-01,"2006","Semi-Detached",203507,"Census","Dwelling value"
"59907",2006-07-01,"2006","Row",247141,"Census","Dwelling value"
"59907",2006-07-01,"2006","Duplex",269974,"Census","Dwelling value"
"59907",2006-07-01,"2006","Low-Rise Apt.",259228,"Census","Dwelling value"
"59907",2006-07-01,"2006","High-Rise Apt.",0,"Census","Dwelling value"
"59907",2006-07-01,"2006","Other",315836,"Census","Dwelling value"
"59907",2006-07-01,"2006","Total",273287,"Census","Dwelling value"
"59907",2011-07-01,"2011","Single-Detached",382814,"Census","Dwelling value"
"59907",2011-07-01,"2011","Semi-Detached",307329,"Census","Dwelling value"
"59907",2011-07-01,"2011","Row",311624,"Census","Dwelling value"
"59907",2011-07-01,"2011","Duplex",378697,"Census","Dwelling value"
"59907",2011-07-01,"2011","Low-Rise Apt.",316144,"Census","Dwelling value"
"59907",2011-07-01,"2011","High-Rise Apt.",0,"Census","Dwelling value"
"59907",2011-07-01,"2011","Other",174920,"Census","Dwelling value"
"59907",2011-07-01,"2011","Total",365792,"Census","Dwelling value"
"59907",2016-07-01,"2016","Single-Detached",449109,"Census","Dwelling value"
"59907",2016-07-01,"2016","Semi-Detached",329148,"Census","Dwelling value"
"59907",2016-07-01,"2016","Row",292355,"Census","Dwelling value"
"59907",2016-07-01,"2016","Duplex",401769,"Census","Dwelling value"
"59907",2016-07-01,"2016","Low-Rise Apt.",288661,"Census","Dwelling value"
"59907",2016-07-01,"2016","High-Rise Apt.",0,"Census","Dwelling value"
"59907",2016-07-01,"2016","Other",144184,"Census","Dwelling value"
"59907",2016-07-01,"2016","Total",414405,"Census","Dwelling value"
"59907",2021-07-01,"2021","Single-Detached",646000,"Census","Dwelling value"
"59907",2021-07-01,"2021","Semi-Detached",536000,"Census","Dwelling value"
"59907",2021-07-01,"2021","Row",450000,"Census","Dwelling value"
"59907",2021-07-01,"2021","Duplex",626000,"Census","Dwelling value"
"59907",2021-07-01,"2021","Low-Rise Apt.",504000,"Census","Dwelling value"
"59907",2021-07-01,"2021","High-Rise Apt.",NA,"Census","Dwelling value"
"59907",2021-07-01,"2021","Other",214000,"Census","Dwelling value"
"59907",2021-07-01,"2021","Total",608500,"Census","Dwelling value"
