"GeoUID","Date","DateString","Median","Value","Survey","Series"
"61995",2006-07-01,"2006","Single-Detached",289120,"Census","Dwelling value"
"61995",2006-07-01,"2006","Semi-Detached",269375,"Census","Dwelling value"
"61995",2006-07-01,"2006","Row",239764,"Census","Dwelling value"
"61995",2006-07-01,"2006","Duplex",259573,"Census","Dwelling value"
"61995",2006-07-01,"2006","Low-Rise Apt.",179350,"Census","Dwelling value"
"61995",2006-07-01,"2006","High-Rise Apt.",179782,"Census","Dwelling value"
"61995",2006-07-01,"2006","Other",240016,"Census","Dwelling value"
"61995",2006-07-01,"2006","Total",260086,"Census","Dwelling value"
"61995",2011-07-01,"2011","Single-Detached",379370,"Census","Dwelling value"
"61995",2011-07-01,"2011","Semi-Detached",399445,"Census","Dwelling value"
"61995",2011-07-01,"2011","Row",320983,"Census","Dwelling value"
"61995",2011-07-01,"2011","Duplex",400053,"Census","Dwelling value"
"61995",2011-07-01,"2011","Low-Rise Apt.",235420,"Census","Dwelling value"
"61995",2011-07-01,"2011","High-Rise Apt.",0,"Census","Dwelling value"
"61995",2011-07-01,"2011","Other",269984,"Census","Dwelling value"
"61995",2011-07-01,"2011","Total",359696,"Census","Dwelling value"
"61995",2016-07-01,"2016","Single-Detached",469442,"Census","Dwelling value"
"61995",2016-07-01,"2016","Semi-Detached",480353,"Census","Dwelling value"
"61995",2016-07-01,"2016","Row",400188,"Census","Dwelling value"
"61995",2016-07-01,"2016","Duplex",501504,"Census","Dwelling value"
"61995",2016-07-01,"2016","Low-Rise Apt.",314240,"Census","Dwelling value"
"61995",2016-07-01,"2016","High-Rise Apt.",314931,"Census","Dwelling value"
"61995",2016-07-01,"2016","Other",269661,"Census","Dwelling value"
"61995",2016-07-01,"2016","Total",420874,"Census","Dwelling value"
"61995",2021-07-01,"2021","Single-Detached",5e+05,"Census","Dwelling value"
"61995",2021-07-01,"2021","Semi-Detached",6e+05,"Census","Dwelling value"
"61995",2021-07-01,"2021","Row",4e+05,"Census","Dwelling value"
"61995",2021-07-01,"2021","Duplex",424000,"Census","Dwelling value"
"61995",2021-07-01,"2021","Low-Rise Apt.",368000,"Census","Dwelling value"
"61995",2021-07-01,"2021","High-Rise Apt.",3e+05,"Census","Dwelling value"
"61995",2021-07-01,"2021","Other",348000,"Census","Dwelling value"
"61995",2021-07-01,"2021","Total",448000,"Census","Dwelling value"
