"GeoUID","Date","DateString","Households Tested For Core Housing Need","Value","Survey","Series"
"35569",2006-07-01,"2006","Below Affordability Standard",4135,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Below Adequacy Standard",1365,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Below Suitability Standard",760,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Below One or More Housing Standards",5610,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Above Standards",9760,"Core Housing Need","Housing Standards"
"35569",2006-07-01,"2006","Total",15365,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below Affordability Standard",4420,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below Adequacy Standard",1225,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below Suitability Standard",715,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Below One or More Housing Standards",5580,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Above Standards",10245,"Core Housing Need","Housing Standards"
"35569",2011-07-01,"2011","Total",15825,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below Affordability Standard",3865,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below Adequacy Standard",960,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below Suitability Standard",535,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Below One or More Housing Standards",4740,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Above Standards",8365,"Core Housing Need","Housing Standards"
"35569",2016-07-01,"2016","Total",13110,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below Affordability Standard",3535,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below Adequacy Standard",920,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below Suitability Standard",490,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Below One or More Housing Standards",4510,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Above Standards",9560,"Core Housing Need","Housing Standards"
"35569",2021-07-01,"2021","Total",14070,"Core Housing Need","Housing Standards"
