"GeoUID","Date","DateString","Households in Core Housing Need","Value","Survey","Series"
"35580",2006-07-01,"2006","Below Affordability Standard",5895,"Core Housing Need","Housing Standards"
"35580",2006-07-01,"2006","Below Adequacy Standard",1095,"Core Housing Need","Housing Standards"
"35580",2006-07-01,"2006","Below Suitability Standard",540,"Core Housing Need","Housing Standards"
"35580",2006-07-01,"2006","Below One or More Housing Standards",6315,"Core Housing Need","Housing Standards"
"35580",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"35580",2006-07-01,"2006","Total",6315,"Core Housing Need","Housing Standards"
"35580",2011-07-01,"2011","Below Affordability Standard",5880,"Core Housing Need","Housing Standards"
"35580",2011-07-01,"2011","Below Adequacy Standard",1105,"Core Housing Need","Housing Standards"
"35580",2011-07-01,"2011","Below Suitability Standard",665,"Core Housing Need","Housing Standards"
"35580",2011-07-01,"2011","Below One or More Housing Standards",6480,"Core Housing Need","Housing Standards"
"35580",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"35580",2011-07-01,"2011","Total",6480,"Core Housing Need","Housing Standards"
"35580",2016-07-01,"2016","Below Affordability Standard",7830,"Core Housing Need","Housing Standards"
"35580",2016-07-01,"2016","Below Adequacy Standard",1530,"Core Housing Need","Housing Standards"
"35580",2016-07-01,"2016","Below Suitability Standard",400,"Core Housing Need","Housing Standards"
"35580",2016-07-01,"2016","Below One or More Housing Standards",8535,"Core Housing Need","Housing Standards"
"35580",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"35580",2016-07-01,"2016","Total",8530,"Core Housing Need","Housing Standards"
"35580",2021-07-01,"2021","Below Affordability Standard",5355,"Core Housing Need","Housing Standards"
"35580",2021-07-01,"2021","Below Adequacy Standard",985,"Core Housing Need","Housing Standards"
"35580",2021-07-01,"2021","Below Suitability Standard",305,"Core Housing Need","Housing Standards"
"35580",2021-07-01,"2021","Below One or More Housing Standards",5915,"Core Housing Need","Housing Standards"
"35580",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"35580",2021-07-01,"2021","Total",5915,"Core Housing Need","Housing Standards"
