"GeoUID","Date","DateString","% of Households in Core Housing Need","Value","Survey","Series"
"59977",2006-07-01,"2006","Below Affordability Standard",48.9,"Core Housing Need","Housing Standards"
"59977",2006-07-01,"2006","Below Adequacy Standard",15.6,"Core Housing Need","Housing Standards"
"59977",2006-07-01,"2006","Below Suitability Standard",10.5,"Core Housing Need","Housing Standards"
"59977",2006-07-01,"2006","Below One or More Housing Standards",32.9,"Core Housing Need","Housing Standards"
"59977",2006-07-01,"2006","Above Standards",0,"Core Housing Need","Housing Standards"
"59977",2006-07-01,"2006","Total",8.4,"Core Housing Need","Housing Standards"
"59977",2011-07-01,"2011","Below Affordability Standard",46.7,"Core Housing Need","Housing Standards"
"59977",2011-07-01,"2011","Below Adequacy Standard",15.5,"Core Housing Need","Housing Standards"
"59977",2011-07-01,"2011","Below Suitability Standard",19.9,"Core Housing Need","Housing Standards"
"59977",2011-07-01,"2011","Below One or More Housing Standards",31.7,"Core Housing Need","Housing Standards"
"59977",2011-07-01,"2011","Above Standards",0,"Core Housing Need","Housing Standards"
"59977",2011-07-01,"2011","Total",9.7,"Core Housing Need","Housing Standards"
"59977",2016-07-01,"2016","Below Affordability Standard",52.4,"Core Housing Need","Housing Standards"
"59977",2016-07-01,"2016","Below Adequacy Standard",14.5,"Core Housing Need","Housing Standards"
"59977",2016-07-01,"2016","Below Suitability Standard",17.9,"Core Housing Need","Housing Standards"
"59977",2016-07-01,"2016","Below One or More Housing Standards",35.9,"Core Housing Need","Housing Standards"
"59977",2016-07-01,"2016","Above Standards",0,"Core Housing Need","Housing Standards"
"59977",2016-07-01,"2016","Total",8.2,"Core Housing Need","Housing Standards"
"59977",2021-07-01,"2021","Below Affordability Standard",33.9,"Core Housing Need","Housing Standards"
"59977",2021-07-01,"2021","Below Adequacy Standard",10.7,"Core Housing Need","Housing Standards"
"59977",2021-07-01,"2021","Below Suitability Standard",9,"Core Housing Need","Housing Standards"
"59977",2021-07-01,"2021","Below One or More Housing Standards",22.9,"Core Housing Need","Housing Standards"
"59977",2021-07-01,"2021","Above Standards",0,"Core Housing Need","Housing Standards"
"59977",2021-07-01,"2021","Total",5.6,"Core Housing Need","Housing Standards"
