"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"24456",2006-07-01,"2006","Average Household Income Before Taxes",51408,"Census","Income"
"24456",2006-07-01,"2006","Median Household Income Before Taxes",39780,"Census","Income"
"24456",2006-07-01,"2006","Average Household Income After Taxes",43497,"Census","Income"
"24456",2006-07-01,"2006","Median Household Income After Taxes",35660,"Census","Income"
"24456",2011-07-01,"2011","Average Household Income Before Taxes",56978,"Census","Income"
"24456",2011-07-01,"2011","Median Household Income Before Taxes",45610,"Census","Income"
"24456",2011-07-01,"2011","Average Household Income After Taxes",48592,"Census","Income"
"24456",2011-07-01,"2011","Median Household Income After Taxes",41457,"Census","Income"
"24456",2016-07-01,"2016","Average Household Income Before Taxes",65207,"Census","Income"
"24456",2016-07-01,"2016","Median Household Income Before Taxes",50975,"Census","Income"
"24456",2016-07-01,"2016","Average Household Income After Taxes",54869,"Census","Income"
"24456",2016-07-01,"2016","Median Household Income After Taxes",45670,"Census","Income"
"24456",2021-07-01,"2021","Average Household Income Before Taxes",78800,"Census","Income"
"24456",2021-07-01,"2021","Median Household Income Before Taxes",61600,"Census","Income"
"24456",2021-07-01,"2021","Average Household Income After Taxes",66200,"Census","Income"
"24456",2021-07-01,"2021","Median Household Income After Taxes",55200,"Census","Income"
