"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"59952",1990-02-01,"1990/Q1","Single",7,"Scss","Length of Construction"
"59952",1990-02-01,"1990/Q1","Semi-Detached",NA,"Scss","Length of Construction"
"59952",1990-02-01,"1990/Q1","Row",NA,"Scss","Length of Construction"
"59952",1990-02-01,"1990/Q1","Apartment",NA,"Scss","Length of Construction"
"59952",1990-02-01,"1990/Q1","All",7,"Scss","Length of Construction"
"59952",1990-05-01,"1990/Q2","Single",7.5,"Scss","Length of Construction"
"59952",1990-05-01,"1990/Q2","Semi-Detached",10,"Scss","Length of Construction"
"59952",1990-05-01,"1990/Q2","Row",NA,"Scss","Length of Construction"
"59952",1990-05-01,"1990/Q2","Apartment",NA,"Scss","Length of Construction"
"59952",1990-05-01,"1990/Q2","All",7.9,"Scss","Length of Construction"
"59952",1990-08-01,"1990/Q3","Single",2.7,"Scss","Length of Construction"
"59952",1990-08-01,"1990/Q3","Semi-Detached",NA,"Scss","Length of Construction"
"59952",1990-08-01,"1990/Q3","Row",NA,"Scss","Length of Construction"
"59952",1990-08-01,"1990/Q3","Apartment",8.3,"Scss","Length of Construction"
"59952",1990-08-01,"1990/Q3","All",5.8,"Scss","Length of Construction"
"59952",1990-11-01,"1990/Q4","Single",2.7,"Scss","Length of Construction"
"59952",1990-11-01,"1990/Q4","Semi-Detached",NA,"Scss","Length of Construction"
"59952",1990-11-01,"1990/Q4","Row",NA,"Scss","Length of Construction"
"59952",1990-11-01,"1990/Q4","Apartment",NA,"Scss","Length of Construction"
"59952",1990-11-01,"1990/Q4","All",2.7,"Scss","Length of Construction"
"59952",1991-02-01,"1991/Q1","Single",5.1,"Scss","Length of Construction"
"59952",1991-02-01,"1991/Q1","Semi-Detached",NA,"Scss","Length of Construction"
"59952",1991-02-01,"1991/Q1","Row",NA,"Scss","Length of Construction"
"59952",1991-02-01,"1991/Q1","Apartment",NA,"Scss","Length of Construction"
"59952",1991-02-01,"1991/Q1","All",5.1,"Scss","Length of Construction"
"59952",1991-05-01,"1991/Q2","Single",3.1,"Scss","Length of Construction"
"59952",1991-05-01,"1991/Q2","Semi-Detached",NA,"Scss","Length of Construction"
"59952",1991-05-01,"1991/Q2","Row",NA,"Scss","Length of Construction"
"59952",1991-05-01,"1991/Q2","Apartment",NA,"Scss","Length of Construction"
"59952",1991-05-01,"1991/Q2","All",3.1,"Scss","Length of Construction"
