"GeoUID","Date","DateString","Bedroom Type","Value","Quality","Survey","Series"
"24481",1992-10-01,"1992 October","Studio",260,"Excellent","Rms","Median Rent"
"24481",1992-10-01,"1992 October","1 Bedroom",315,"Excellent","Rms","Median Rent"
"24481",1992-10-01,"1992 October","2 Bedroom",385,"Excellent","Rms","Median Rent"
"24481",1992-10-01,"1992 October","3 Bedroom +",450,"Excellent","Rms","Median Rent"
"24481",1992-10-01,"1992 October","Total",375,"Excellent","Rms","Median Rent"
"24481",1993-10-01,"1993 October","Studio",265,"Excellent","Rms","Median Rent"
"24481",1993-10-01,"1993 October","1 Bedroom",315,"Excellent","Rms","Median Rent"
"24481",1993-10-01,"1993 October","2 Bedroom",385,"Excellent","Rms","Median Rent"
"24481",1993-10-01,"1993 October","3 Bedroom +",450,"Excellent","Rms","Median Rent"
"24481",1993-10-01,"1993 October","Total",375,"Excellent","Rms","Median Rent"
"24481",1994-10-01,"1994 October","Studio",273,"Excellent","Rms","Median Rent"
"24481",1994-10-01,"1994 October","1 Bedroom",320,"Excellent","Rms","Median Rent"
"24481",1994-10-01,"1994 October","2 Bedroom",380,"Excellent","Rms","Median Rent"
"24481",1994-10-01,"1994 October","3 Bedroom +",450,"Excellent","Rms","Median Rent"
"24481",1994-10-01,"1994 October","Total",375,"Excellent","Rms","Median Rent"
"24481",1995-10-01,"1995 October","Studio",265,"Excellent","Rms","Median Rent"
"24481",1995-10-01,"1995 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
"24481",1995-10-01,"1995 October","2 Bedroom",395,"Excellent","Rms","Median Rent"
"24481",1995-10-01,"1995 October","3 Bedroom +",460,"Excellent","Rms","Median Rent"
"24481",1995-10-01,"1995 October","Total",385,"Excellent","Rms","Median Rent"
"24481",1996-10-01,"1996 October","Studio",275,"Excellent","Rms","Median Rent"
"24481",1996-10-01,"1996 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
"24481",1996-10-01,"1996 October","2 Bedroom",400,"Excellent","Rms","Median Rent"
"24481",1996-10-01,"1996 October","3 Bedroom +",460,"Excellent","Rms","Median Rent"
"24481",1996-10-01,"1996 October","Total",385,"Excellent","Rms","Median Rent"
"24481",1997-10-01,"1997 October","Studio",275,"Excellent","Rms","Median Rent"
"24481",1997-10-01,"1997 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
"24481",1997-10-01,"1997 October","2 Bedroom",400,"Excellent","Rms","Median Rent"
"24481",1997-10-01,"1997 October","3 Bedroom +",475,"Excellent","Rms","Median Rent"
"24481",1997-10-01,"1997 October","Total",380,"Excellent","Rms","Median Rent"
"24481",1998-10-01,"1998 October","Studio",275,"Excellent","Rms","Median Rent"
"24481",1998-10-01,"1998 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
"24481",1998-10-01,"1998 October","2 Bedroom",400,"Excellent","Rms","Median Rent"
"24481",1998-10-01,"1998 October","3 Bedroom +",460,"Excellent","Rms","Median Rent"
"24481",1998-10-01,"1998 October","Total",385,"Excellent","Rms","Median Rent"
"24481",1999-10-01,"1999 October","Studio",265,"Excellent","Rms","Median Rent"
"24481",1999-10-01,"1999 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
"24481",1999-10-01,"1999 October","2 Bedroom",400,"Excellent","Rms","Median Rent"
"24481",1999-10-01,"1999 October","3 Bedroom +",470,"Excellent","Rms","Median Rent"
"24481",1999-10-01,"1999 October","Total",400,"Excellent","Rms","Median Rent"
"24481",2000-10-01,"2000 October","Studio",275,"Excellent","Rms","Median Rent"
"24481",2000-10-01,"2000 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
"24481",2000-10-01,"2000 October","2 Bedroom",400,"Excellent","Rms","Median Rent"
"24481",2000-10-01,"2000 October","3 Bedroom +",475,"Excellent","Rms","Median Rent"
"24481",2000-10-01,"2000 October","Total",390,"Excellent","Rms","Median Rent"
"24481",2001-10-01,"2001 October","Studio",260,"Excellent","Rms","Median Rent"
"24481",2001-10-01,"2001 October","1 Bedroom",325,"Excellent","Rms","Median Rent"
