"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"48828",2006-07-01,"2006","15 - 24",155,"Census","Mobility 1 of All Households"
"48828",2006-07-01,"2006","25 - 34",330,"Census","Mobility 1 of All Households"
"48828",2006-07-01,"2006","35 - 44",240,"Census","Mobility 1 of All Households"
"48828",2006-07-01,"2006","45 - 54",195,"Census","Mobility 1 of All Households"
"48828",2006-07-01,"2006","55 - 64",145,"Census","Mobility 1 of All Households"
"48828",2006-07-01,"2006","Total 65+",75,"Census","Mobility 1 of All Households"
"48828",2006-07-01,"2006","Total",1150,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","15 - 24",40,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","25 - 34",315,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","35 - 44",150,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","45 - 54",65,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","55 - 64",180,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","Total 65+",40,"Census","Mobility 1 of All Households"
"48828",2011-07-01,"2011","Total",795,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","15 - 24",75,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","25 - 34",295,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","35 - 44",200,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","45 - 54",155,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","55 - 64",155,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","Total 65+",50,"Census","Mobility 1 of All Households"
"48828",2016-07-01,"2016","Total",925,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","15 - 24",120,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","25 - 34",495,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","35 - 44",200,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","45 - 54",135,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","55 - 64",165,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","Total 65+",95,"Census","Mobility 1 of All Households"
"48828",2021-07-01,"2021","Total",1210,"Census","Mobility 1 of All Households"
