"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35598",2006-07-01,"2006","65 - 74",120,"Census","Mobility 5 of 65 and over"
"35598",2006-07-01,"2006","75 - 84",115,"Census","Mobility 5 of 65 and over"
"35598",2006-07-01,"2006","85+",10,"Census","Mobility 5 of 65 and over"
"35598",2006-07-01,"2006","Total 65+",245,"Census","Mobility 5 of 65 and over"
"35598",2006-07-01,"2006","Total",2005,"Census","Mobility 5 of 65 and over"
"35598",2011-07-01,"2011","65 - 74",100,"Census","Mobility 5 of 65 and over"
"35598",2011-07-01,"2011","75 - 84",80,"Census","Mobility 5 of 65 and over"
"35598",2011-07-01,"2011","85+",60,"Census","Mobility 5 of 65 and over"
"35598",2011-07-01,"2011","Total 65+",240,"Census","Mobility 5 of 65 and over"
"35598",2011-07-01,"2011","Total",2000,"Census","Mobility 5 of 65 and over"
"35598",2016-07-01,"2016","65 - 74",140,"Census","Mobility 5 of 65 and over"
"35598",2016-07-01,"2016","75 - 84",110,"Census","Mobility 5 of 65 and over"
"35598",2016-07-01,"2016","85+",30,"Census","Mobility 5 of 65 and over"
"35598",2016-07-01,"2016","Total 65+",280,"Census","Mobility 5 of 65 and over"
"35598",2016-07-01,"2016","Total",1855,"Census","Mobility 5 of 65 and over"
"35598",2021-07-01,"2021","65 - 74",220,"Census","Mobility 5 of 65 and over"
"35598",2021-07-01,"2021","75 - 84",105,"Census","Mobility 5 of 65 and over"
"35598",2021-07-01,"2021","85+",45,"Census","Mobility 5 of 65 and over"
"35598",2021-07-01,"2021","Total 65+",370,"Census","Mobility 5 of 65 and over"
"35598",2021-07-01,"2021","Total",2150,"Census","Mobility 5 of 65 and over"
