"GeoUID","Date","DateString","Bedroom Type","Value","Survey","Series"
"59930",1990-10-01,"1990 October","Studio",98,"Rms","Rental Universe"
"59930",1990-10-01,"1990 October","1 Bedroom",1104,"Rms","Rental Universe"
"59930",1990-10-01,"1990 October","2 Bedroom",681,"Rms","Rental Universe"
"59930",1990-10-01,"1990 October","3 Bedroom +",16,"Rms","Rental Universe"
"59930",1990-10-01,"1990 October","Total",1899,"Rms","Rental Universe"
"59930",1991-10-01,"1991 October","Studio",98,"Rms","Rental Universe"
"59930",1991-10-01,"1991 October","1 Bedroom",1149,"Rms","Rental Universe"
"59930",1991-10-01,"1991 October","2 Bedroom",728,"Rms","Rental Universe"
"59930",1991-10-01,"1991 October","3 Bedroom +",22,"Rms","Rental Universe"
"59930",1991-10-01,"1991 October","Total",1997,"Rms","Rental Universe"
"59930",1992-10-01,"1992 October","Studio",95,"Rms","Rental Universe"
"59930",1992-10-01,"1992 October","1 Bedroom",1241,"Rms","Rental Universe"
"59930",1992-10-01,"1992 October","2 Bedroom",884,"Rms","Rental Universe"
"59930",1992-10-01,"1992 October","3 Bedroom +",34,"Rms","Rental Universe"
"59930",1992-10-01,"1992 October","Total",2254,"Rms","Rental Universe"
"59930",1993-10-01,"1993 October","Studio",94,"Rms","Rental Universe"
"59930",1993-10-01,"1993 October","1 Bedroom",1244,"Rms","Rental Universe"
"59930",1993-10-01,"1993 October","2 Bedroom",935,"Rms","Rental Universe"
"59930",1993-10-01,"1993 October","3 Bedroom +",108,"Rms","Rental Universe"
"59930",1993-10-01,"1993 October","Total",2381,"Rms","Rental Universe"
"59930",1994-10-01,"1994 October","Studio",80,"Rms","Rental Universe"
"59930",1994-10-01,"1994 October","1 Bedroom",1239,"Rms","Rental Universe"
"59930",1994-10-01,"1994 October","2 Bedroom",1081,"Rms","Rental Universe"
"59930",1994-10-01,"1994 October","3 Bedroom +",137,"Rms","Rental Universe"
"59930",1994-10-01,"1994 October","Total",2537,"Rms","Rental Universe"
"59930",1995-10-01,"1995 October","Studio",99,"Rms","Rental Universe"
"59930",1995-10-01,"1995 October","1 Bedroom",1324,"Rms","Rental Universe"
"59930",1995-10-01,"1995 October","2 Bedroom",1165,"Rms","Rental Universe"
"59930",1995-10-01,"1995 October","3 Bedroom +",141,"Rms","Rental Universe"
