"GeoUID","Date","DateString","Metric","Value","Quality","Survey","Series"
"48840",1990-10-01,"1990 October","Vacancy Rate (%)",10.3,"Excellent","Rms","Summary Statistics"
"48840",1990-10-01,"1990 October","Availability Rate (%)",NA,NA,"Rms","Summary Statistics"
"48840",1990-10-01,"1990 October","Average Rent ($)",390,"Excellent","Rms","Summary Statistics"
"48840",1990-10-01,"1990 October","Median Rent ($)",390,"Excellent","Rms","Summary Statistics"
"48840",1990-10-01,"1990 October","% Change",NA,NA,"Rms","Summary Statistics"
"48840",1990-10-01,"1990 October","Units",1926,NA,"Rms","Summary Statistics"
"48840",1991-10-01,"1991 October","Vacancy Rate (%)",0.1,"Excellent","Rms","Summary Statistics"
"48840",1991-10-01,"1991 October","Availability Rate (%)",NA,NA,"Rms","Summary Statistics"
"48840",1991-10-01,"1991 October","Average Rent ($)",442,"Excellent","Rms","Summary Statistics"
"48840",1991-10-01,"1991 October","Median Rent ($)",435,"Excellent","Rms","Summary Statistics"
"48840",1991-10-01,"1991 October","% Change",13.7,"Excellent","Rms","Summary Statistics"
"48840",1991-10-01,"1991 October","Units",1871,NA,"Rms","Summary Statistics"
"48840",1992-10-01,"1992 October","Vacancy Rate (%)",15.1,"Excellent","Rms","Summary Statistics"
"48840",1992-10-01,"1992 October","Availability Rate (%)",NA,NA,"Rms","Summary Statistics"
"48840",1992-10-01,"1992 October","Average Rent ($)",434,"Excellent","Rms","Summary Statistics"
"48840",1992-10-01,"1992 October","Median Rent ($)",428,"Excellent","Rms","Summary Statistics"
"48840",1992-10-01,"1992 October","% Change",-1.4,"Excellent","Rms","Summary Statistics"
"48840",1992-10-01,"1992 October","Units",1873,NA,"Rms","Summary Statistics"
"48840",1993-10-01,"1993 October","Vacancy Rate (%)",8,"Excellent","Rms","Summary Statistics"
"48840",1993-10-01,"1993 October","Availability Rate (%)",NA,NA,"Rms","Summary Statistics"
"48840",1993-10-01,"1993 October","Average Rent ($)",421,"Excellent","Rms","Summary Statistics"
"48840",1993-10-01,"1993 October","Median Rent ($)",425,"Excellent","Rms","Summary Statistics"
"48840",1993-10-01,"1993 October","% Change",-3.2,"Very good","Rms","Summary Statistics"
"48840",1993-10-01,"1993 October","Units",1861,NA,"Rms","Summary Statistics"
"48840",1994-10-01,"1994 October","Vacancy Rate (%)",5.9,"Excellent","Rms","Summary Statistics"
"48840",1994-10-01,"1994 October","Availability Rate (%)",NA,NA,"Rms","Summary Statistics"
"48840",1994-10-01,"1994 October","Average Rent ($)",417,"Excellent","Rms","Summary Statistics"
"48840",1994-10-01,"1994 October","Median Rent ($)",420,"Excellent","Rms","Summary Statistics"
"48840",1994-10-01,"1994 October","% Change",-0.6,"Excellent","Rms","Summary Statistics"
"48840",1994-10-01,"1994 October","Units",1877,NA,"Rms","Summary Statistics"
"48840",1995-10-01,"1995 October","Vacancy Rate (%)",2.6,"Excellent","Rms","Summary Statistics"
