"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"12205",1990-01-01,"Jan 1990","Single",70,"Scss","Unabsorbed Inventory"
"12205",1990-01-01,"Jan 1990","Semi-Detached",44,"Scss","Unabsorbed Inventory"
"12205",1990-01-01,"Jan 1990","Row",64,"Scss","Unabsorbed Inventory"
"12205",1990-01-01,"Jan 1990","Apartment",49,"Scss","Unabsorbed Inventory"
"12205",1990-01-01,"Jan 1990","All",227,"Scss","Unabsorbed Inventory"
"12205",1990-02-01,"Feb 1990","Single",65,"Scss","Unabsorbed Inventory"
"12205",1990-02-01,"Feb 1990","Semi-Detached",46,"Scss","Unabsorbed Inventory"
"12205",1990-02-01,"Feb 1990","Row",66,"Scss","Unabsorbed Inventory"
"12205",1990-02-01,"Feb 1990","Apartment",47,"Scss","Unabsorbed Inventory"
"12205",1990-02-01,"Feb 1990","All",224,"Scss","Unabsorbed Inventory"
"12205",1990-03-01,"Mar 1990","Single",70,"Scss","Unabsorbed Inventory"
"12205",1990-03-01,"Mar 1990","Semi-Detached",52,"Scss","Unabsorbed Inventory"
"12205",1990-03-01,"Mar 1990","Row",55,"Scss","Unabsorbed Inventory"
"12205",1990-03-01,"Mar 1990","Apartment",82,"Scss","Unabsorbed Inventory"
"12205",1990-03-01,"Mar 1990","All",259,"Scss","Unabsorbed Inventory"
"12205",1990-04-01,"Apr 1990","Single",58,"Scss","Unabsorbed Inventory"
"12205",1990-04-01,"Apr 1990","Semi-Detached",43,"Scss","Unabsorbed Inventory"
"12205",1990-04-01,"Apr 1990","Row",36,"Scss","Unabsorbed Inventory"
"12205",1990-04-01,"Apr 1990","Apartment",83,"Scss","Unabsorbed Inventory"
"12205",1990-04-01,"Apr 1990","All",220,"Scss","Unabsorbed Inventory"
"12205",1990-05-01,"May 1990","Single",62,"Scss","Unabsorbed Inventory"
"12205",1990-05-01,"May 1990","Semi-Detached",37,"Scss","Unabsorbed Inventory"
"12205",1990-05-01,"May 1990","Row",50,"Scss","Unabsorbed Inventory"
"12205",1990-05-01,"May 1990","Apartment",74,"Scss","Unabsorbed Inventory"
"12205",1990-05-01,"May 1990","All",223,"Scss","Unabsorbed Inventory"
"12205",1990-06-01,"Jun 1990","Single",57,"Scss","Unabsorbed Inventory"
"12205",1990-06-01,"Jun 1990","Semi-Detached",39,"Scss","Unabsorbed Inventory"
"12205",1990-06-01,"Jun 1990","Row",44,"Scss","Unabsorbed Inventory"
"12205",1990-06-01,"Jun 1990","Apartment",79,"Scss","Unabsorbed Inventory"
"12205",1990-06-01,"Jun 1990","All",219,"Scss","Unabsorbed Inventory"
"12205",1990-07-01,"Jul 1990","Single",50,"Scss","Unabsorbed Inventory"
"12205",1990-07-01,"Jul 1990","Semi-Detached",39,"Scss","Unabsorbed Inventory"
"12205",1990-07-01,"Jul 1990","Row",47,"Scss","Unabsorbed Inventory"
"12205",1990-07-01,"Jul 1990","Apartment",82,"Scss","Unabsorbed Inventory"
"12205",1990-07-01,"Jul 1990","All",218,"Scss","Unabsorbed Inventory"
"12205",1990-08-01,"Aug 1990","Single",45,"Scss","Unabsorbed Inventory"
"12205",1990-08-01,"Aug 1990","Semi-Detached",30,"Scss","Unabsorbed Inventory"
"12205",1990-08-01,"Aug 1990","Row",49,"Scss","Unabsorbed Inventory"
"12205",1990-08-01,"Aug 1990","Apartment",117,"Scss","Unabsorbed Inventory"
"12205",1990-08-01,"Aug 1990","All",241,"Scss","Unabsorbed Inventory"
"12205",1990-09-01,"Sep 1990","Single",46,"Scss","Unabsorbed Inventory"
"12205",1990-09-01,"Sep 1990","Semi-Detached",40,"Scss","Unabsorbed Inventory"
"12205",1990-09-01,"Sep 1990","Row",61,"Scss","Unabsorbed Inventory"
"12205",1990-09-01,"Sep 1990","Apartment",155,"Scss","Unabsorbed Inventory"
"12205",1990-09-01,"Sep 1990","All",302,"Scss","Unabsorbed Inventory"
"12205",1990-10-01,"Oct 1990","Single",41,"Scss","Unabsorbed Inventory"
"12205",1990-10-01,"Oct 1990","Semi-Detached",32,"Scss","Unabsorbed Inventory"
"12205",1990-10-01,"Oct 1990","Row",75,"Scss","Unabsorbed Inventory"
"12205",1990-10-01,"Oct 1990","Apartment",148,"Scss","Unabsorbed Inventory"
