"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"48810",1990-01-01,"1990 January","1st 20%",82000,"Scss","Unabsorbed Prices"
"48810",1990-01-01,"1990 January","2nd 40%",112000,"Scss","Unabsorbed Prices"
"48810",1990-01-01,"1990 January","3rd 60%",160000,"Scss","Unabsorbed Prices"
"48810",1990-01-01,"1990 January","4th 80%",166000,"Scss","Unabsorbed Prices"
"48810",1990-01-01,"1990 January","Median",160000,"Scss","Unabsorbed Prices"
"48810",1990-01-01,"1990 January","Average",126945,"Scss","Unabsorbed Prices"
"48810",1990-01-01,"1990 January","Units",11,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","Median",NA,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","Average",110800,"Scss","Unabsorbed Prices"
"48810",1990-02-01,"1990 February","Units",15,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","1st 20%",85000,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","2nd 40%",90000,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","3rd 60%",121000,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","4th 80%",135000,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","Median",95000,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","Average",110967,"Scss","Unabsorbed Prices"
"48810",1990-03-01,"1990 March","Units",30,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","1st 20%",85000,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","2nd 40%",90000,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","3rd 60%",103000,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","4th 80%",125000,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","Median",97500,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","Average",104889,"Scss","Unabsorbed Prices"
"48810",1990-04-01,"1990 April","Units",30,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","1st 20%",85000,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","2nd 40%",1e+05,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","3rd 60%",110000,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","4th 80%",140000,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","Median",1e+05,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","Average",109005,"Scss","Unabsorbed Prices"
"48810",1990-05-01,"1990 May","Units",25,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","1st 20%",105000,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","2nd 40%",110000,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","3rd 60%",122000,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","4th 80%",136000,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","Median",115000,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","Average",121396,"Scss","Unabsorbed Prices"
"48810",1990-06-01,"1990 June","Units",27,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","1st 20%",90000,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","2nd 40%",1e+05,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","3rd 60%",120000,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","4th 80%",130000,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","Median",1e+05,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","Average",114332,"Scss","Unabsorbed Prices"
"48810",1990-07-01,"1990 July","Units",19,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","1st 20%",90000,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","2nd 40%",102000,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","3rd 60%",124000,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","4th 80%",134000,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","Median",105000,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","Average",112471,"Scss","Unabsorbed Prices"
"48810",1990-08-01,"1990 August","Units",21,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","1st 20%",98000,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","2nd 40%",110000,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","3rd 60%",118000,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","4th 80%",140000,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","Median",110000,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","Average",115307,"Scss","Unabsorbed Prices"
"48810",1990-09-01,"1990 September","Units",31,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","1st 20%",92000,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","2nd 40%",110000,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","3rd 60%",121000,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","4th 80%",145000,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","Median",115000,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","Average",120221,"Scss","Unabsorbed Prices"
"48810",1990-10-01,"1990 October","Units",33,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","1st 20%",90000,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","2nd 40%",120000,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","3rd 60%",120000,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","4th 80%",135000,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","Median",120000,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","Average",116368,"Scss","Unabsorbed Prices"
"48810",1990-11-01,"1990 November","Units",23,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","1st 20%",99000,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","2nd 40%",124000,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","3rd 60%",140000,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","4th 80%",150000,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","Median",127500,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","Average",128012,"Scss","Unabsorbed Prices"
"48810",1990-12-01,"1990 December","Units",26,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","Median",NA,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","Average",145933,"Scss","Unabsorbed Prices"
"48810",1991-01-01,"1991 January","Units",16,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","Median",NA,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","Average",124059,"Scss","Unabsorbed Prices"
"48810",1991-02-01,"1991 February","Units",18,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","Median",NA,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","Average",116786,"Scss","Unabsorbed Prices"
"48810",1991-03-01,"1991 March","Units",9,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","1st 20%",90000,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","2nd 40%",105000,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","3rd 60%",115000,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","4th 80%",140000,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","Median",110000,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","Average",117211,"Scss","Unabsorbed Prices"
"48810",1991-04-01,"1991 April","Units",25,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","1st 20%",92000,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","2nd 40%",109000,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","3rd 60%",115000,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","4th 80%",140000,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","Median",115000,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","Average",113736,"Scss","Unabsorbed Prices"
"48810",1991-05-01,"1991 May","Units",11,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","1st 20%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","2nd 40%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","3rd 60%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","4th 80%",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","Median",NA,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","Average",120000,"Scss","Unabsorbed Prices"
"48810",1991-06-01,"1991 June","Units",7,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","1st 20%",82000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","2nd 40%",114000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","3rd 60%",121000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","4th 80%",142000,"Scss","Unabsorbed Prices"
"48810",1991-07-01,"1991 July","Median",115000,"Scss","Unabsorbed Prices"
